molecule_name,smiles,pka_positions,pka_values,true_pka_positions,true_pka_values
Molecule_65,CC(C)C(C#N)(C(C)C)C(O)=O,[10],[3.1439366340637207],[10],[2.56]
Molecule_66,Oc1c(cccc1[N+]([O-])=O)[N+]([O-])=O,[0],[7.139355659484863],[0],[3.72]
Molecule_67,Oc1c2ccccc2ccc1[N+]([O-])=O,[0],[7.102527141571045],[0],[5.73]
Molecule_68,Oc1ccccc1,[0],[7.342963218688965],[0],[9.81]
Molecule_69,CC(C)(C)SCC(O)=O,[7],[3.4942164421081543],[7],[3.64]
Molecule_70,CC(C)(C)SCCN,[7],[9.20630168914795],[7],[9.34]
Molecule_71,CC(C)(C)c1ccc(O)cc1,[8],[8.675477981567383],[8],[10.31]
Molecule_72,CC(C)(C)c1ccncc1,[7],[5.625027656555176],[7],[6.1]
Molecule_73,CC(C)(CO)C(O)=O,[6],[4.396215915679932],[6],[4.87]
Molecule_74,CC(C)(N)C(=O)NC(C)(C)C(=O)NC(C)(C)C(N)=O,[3],[8.632234573364258],[3],[7.76]
Molecule_75,CC(C)(N)C(=O)NC(C)(C)C(N)=O,[3],[8.632234573364258],[3],[7.93]
Molecule_76,Oc1cccc(Br)c1,[0],[7.196038246154785],[0],[8.89]
Molecule_77,Oc1cccc(F)c1,[0],[7.196038246154785],[0],[9.01]
Molecule_78,Oc1cccc(I)c1,[0],[7.196038246154785],[0],[8.89]
Molecule_79,Oc1cccc(c1)C#N,[0],[7.342963218688965],[0],[8.46]
Molecule_80,Oc1cccc(c1)[N+]([O-])=O,[0],[7.342963218688965],[0],[8.21]
Molecule_81,Oc1cccc2ccccc12,[0],[7.564997673034668],[0],[9.17]
Molecule_82,Oc1cccc[n+]1[O-],"[0, 6]","[7.342963218688965, 4.959893226623535]",[6],[5.81]
Molecule_83,Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,[0],[7.196038246154785],[0],[4.02]
Molecule_84,Oc1ccc2cc(cc(c2c1)[S](O)(=O)=O)[S](O)(=O)=O,[0],[6.9958696365356445],[0],[8.61]
Molecule_85,Oc1ccc2cc(ccc2c1)[S](O)(=O)=O,[0],[6.9958696365356445],[0],[8.9]
Molecule_86,Oc1ccc2ccc(cc2c1)[S](O)(=O)=O,[0],[7.196038246154785],[0],[9.05]
Molecule_87,Oc1ccc2ccccc2c1,[0],[7.196038246154785],[0],[9.34]
Molecule_88,Oc1ccc2ccccc2c1[N+]([O-])=O,[0],[7.196038246154785],[0],[5.75]
Molecule_89,CC(C)C[C@H](NC(=O)CNC(=O)CN)C(O)=O,"[13, 15]","[8.930819511413574, 3.639166831970215]",[13],[7.9]
Molecule_90,O[S](=O)(=O)CCN1CCN(CC1)CC[S](O)(=O)=O,"[0, 6, 9]","[2.3553526401519775, 7.194645404815674, 10.898552894592285]",[6],[7.09]
Molecule_91,Oc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,[0],[7.102527141571045],[0],[0.22]
Molecule_92,O[C@@H](C=O)[C@@H](O)[C@@H](O)[C@H](O)C(O)=O,[11],[2.9025135040283203],[11],[3.27]
Molecule_93,O[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)C(O)=O,[11],[2.9820075035095215],[11],[3.04]
Molecule_94,Oc1ccc(cc1)N=O,[0],[7.196038246154785],[0],[6.33]
Molecule_95,CC(C)C(C#N)C(O)=O,[7],[2.2562012672424316],[7],[2.4]
Molecule_96,CC(C)CCN,[5],[9.557907104492188],[5],[10.64]
Molecule_97,CC(C)CN,[4],[9.21418285369873],[4],[10.53]
Molecule_98,CC(C)C[C@H](NC(=O)CN)C(=O)NCC(O)=O,"[9, 15]","[9.263164520263672, 3.815516471862793]",[9],[7.95]
Molecule_99,Oc1cc2ccc(cc2cc1[S](O)(=O)=O)[S](O)(=O)=O,[0],[7.196038246154785],[0],[9.14]
Molecule_100,Oc1ccc(Br)cc1,[0],[7.463690757751465],[0],[9.15]
Molecule_101,Oc1ccc(CC=C)cc1,[0],[7.571236610412598],[0],[10.23]
Molecule_102,Oc1ccc(F)cc1,[0],[7.463690757751465],[0],[9.68]
Molecule_103,Oc1ccc(I)cc1,[0],[7.463690757751465],[0],[9.33]
Molecule_104,Oc1ccc(c(c1)[N+]([O-])=O)[N+]([O-])=O,[0],[7.196038246154785],[0],[5.42]
Molecule_105,Oc1ccc(c2ccccc12)[S](O)(=O)=O,[0],[7.564997673034668],[0],[8.05]
Molecule_106,Oc1c2ccccc2ccc1[S](O)(=O)=O,[0],[7.102527141571045],[0],[9.03]
Molecule_107,Oc1cc(Br)cc(Br)c1,[0],[7.7866668701171875],[0],[8.06]
Molecule_108,Oc1cc(I)cc(I)c1,[0],[7.7866668701171875],[0],[8.1]
Molecule_109,Oc1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,[0],[7.7866668701171875],[0],[6.73]
Molecule_110,Oc1cc(cc2cc(ccc12)[S](O)(=O)=O)[S](O)(=O)=O,[0],[7.7866668701171875],[0],[8.07]
Molecule_111,Oc1cc(cc2ccccc12)[S](O)(=O)=O,[0],[7.7866668701171875],[0],[8.43]
Molecule_112,Oc1cc(ccc1[N+]([O-])=O)[N+]([O-])=O,[0],[7.564997673034668],[0],[5.25]
Molecule_113,ONC(/c1ccccc1)=C(N=O)\c2ccccc2,[0],[8.416898727416992],[0],[10.23]
Molecule_114,ONC(=O)c1ccccc1,[0],[8.416898727416992],[0],[8.73]
Molecule_115,ONC1=C(CCCC1)N=O,[0],[8.416898727416992],[0],[10.63]
Molecule_116,ONC1=C(CCCCC1)N=O,[0],[8.416898727416992],[0],[10.57]
Molecule_117,OCc1[nH]ccn1,[],[],[6],[7.66]
Molecule_118,OCc1cccc(CO)n1,[9],[5.087118148803711],[9],[4.39]
Molecule_119,OCc1ccccn1,[7],[5.101571559906006],[7],[5.01]
Molecule_120,OCc1cccnc1,[6],[5.24368143081665],[6],[5.02]
Molecule_121,OCc1ccncc1,[5],[5.1993842124938965],[5],[5.42]
Molecule_122,CC(C)N,[3],[8.55295467376709],[3],[10.66]
Molecule_123,CC(C)S,[3],[7.762101173400879],[3],[10.86]
Molecule_124,CC(C)SCC(O)=O,[6],[3.809034824371338],[6],[3.69]
Molecule_125,CC(C)[C@H](N)C(N)=O,[4],[8.347982406616211],[4],[7.72]
Molecule_126,CC(C)c1[nH]ccn1,[7],[5.829753398895264],[7],[7.77]
Molecule_127,O[C@@H]1CCCC[C@H]1C(O)=O,[8],[4.121569633483887],[8],[4.59]
Molecule_128,O[C@@H]1CCC[C@@H](C1)C(O)=O,[8],[4.215968132019043],[8],[4.51]
Molecule_129,O[C@@H]1CC[C@H](CC1)C(O)=O,[8],[4.33387565612793],[8],[4.58]
Molecule_130,O[C@H]1CCCC[C@H]1C(O)=O,[8],[4.075307846069336],[8],[4.64]
Molecule_131,O[C@H]1CCC[C@@H](C1)C(O)=O,[8],[4.1298441886901855],[8],[4.67]
Molecule_132,O[C@H]1CC[C@H](CC1)C(O)=O,[8],[4.268491268157959],[8],[4.74]
Molecule_133,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1CO[P](O)(=O)O[P](O)(O)=O)n2cnc3C(=O)N=CNc23,[10],[6.040201663970947],[10],[6.94]
Molecule_134,CC1=C(O)C(=O)C=CO1,[3],[7.387182712554932],[3],[8.55]
Molecule_135,CC1=CC(=CC(=O)O1)O,[8],[8.546780586242676],[8],[4.76]
Molecule_136,CC1=CC(=O)C(=CO1)O,[8],[8.804476737976074],[8],[8.06]
Molecule_137,OC1CC(=CC(O)C1O)C(O)=O,[10],[3.1672959327697754],[10],[4.01]
Molecule_138,CC(CO)(CO)C(O)=O,[7],[4.149226665496826],[7],[4.52]
Molecule_139,CC(N)C(=O)NC(C)(C)C(N)=O,[2],[8.357359886169434],[2],[7.93]
Molecule_140,CC(O)(C(O)=O)c1ccccc1,[4],[3.3506522178649902],[4],[3.53]
Molecule_141,CC(O)C(O)=O,[4],[3.4205589294433594],[4],[3.73]
Molecule_142,CC(O)CN,[4],[9.185393333435059],[4],[9.61]
Molecule_143,CC(O)Cc1ccccn1,[9],[5.080080032348633],[9],[5.48]
Molecule_144,CC(Oc1ccccc1)C(O)=O,[10],[3.2370829582214355],[10],[2.91]
Molecule_145,OCCc1cccnc1,[7],[5.26796293258667],[7],[5.38]
Molecule_146,OCCc1ccncc1,[6],[5.427779197692871],[6],[5.64]
Molecule_147,OCNC(=O)c1cccnc1,[9],[4.362730503082275],[9],[3.41]
Molecule_148,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO[P](O)(O)=O,"[13, 14]","[5.520615100860596, 5.520615100860596]",[13],[5.84]
Molecule_149,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,[11],[3.026276111602783],[11],[3.47]
Molecule_150,OCCCc1ccncc1,[7],[5.4250946044921875],[7],[5.87]
Molecule_151,OCCN1CCN(CC1)CC[S](O)(=O)=O,"[3, 6]","[9.125090599060059, 9.573674201965332]",[3],[7.55]
Molecule_152,OCCN1CCN(CCC[S](O)(=O)=O)CC1,"[3, 6]","[9.145593643188477, 9.48624324798584]",[3],[7.96]
Molecule_153,OCCNC(=S)C(=S)NCCO,[],[],[3],[11.07]
Molecule_154,OCCS,[3],[8.99905776977539],[3],[9.46]
Molecule_155,OCCSCCc1ccccn1,[11],[5.245274543762207],[11],[5.28]
Molecule_156,OCCSCc1ccccn1,[10],[4.912611484527588],[10],[4.61]
Molecule_157,OCCc1ccccn1,[8],[5.218677520751953],[8],[5.34]
Molecule_158,CCC(C)C(N)C(=O)OC,[5],[8.553839683532715],[5],[7.54]
Molecule_159,CCC(C)N,[4],[9.59199047088623],[4],[10.57]
Molecule_160,CCC(N)CC,[3],[9.43673324584961],[3],[10.46]
Molecule_161,CCC(NC(C)=O)C(O)=O,[8],[3.6998047828674316],[8],[3.72]
Molecule_162,CCC(NC(N)=O)C(O)=O,[8],[3.7090611457824707],[8],[3.89]
Molecule_163,CCC(O)(CC)C(O)=O,[7],[3.7904834747314453],[7],[3.68]
Molecule_164,CCC(Oc1ccccc1)C(O)=O,[11],[3.2185378074645996],[11],[3.03]
Molecule_165,OCCCc1ccccn1,[9],[5.365482330322266],[9],[5.66]
Molecule_166,OCCCc1cccnc1,[8],[5.548063278198242],[8],[5.56]
Molecule_167,CC1CCC(=C(C1)NO)N=O,[8],[10.88554573059082],[8],[10.54]
Molecule_168,CC1CCNCC1,[4],[9.852757453918457],[4],[11.08]
Molecule_169,CCC(=O)C(O)=O,[5],[3.501506805419922],[5],[2.49]
Molecule_170,CCC(=O)NCC(O)=O,[7],[3.6490731239318848],[7],[3.72]
Molecule_171,CCC(=O)NO,[5],[9.49738597869873],[5],[9.44]
Molecule_172,OCCC(O)=O,[4],[3.920576572418213],[4],[4.43]
Molecule_173,OCCCC(O)=O,[5],[3.7959818840026855],[5],[4.8]
Molecule_174,OCCCCCc1ccccn1,[11],[5.316628456115723],[11],[5.93]
Molecule_175,OCCCCCc1cccnc1,[10],[5.7064361572265625],[10],[5.72]
Molecule_176,OCCCCCc1ccncc1,[9],[5.514162540435791],[9],[6.04]
Molecule_177,OCCCCc1ccccn1,[10],[5.355961799621582],[10],[5.83]
Molecule_178,OCCCCc1cccnc1,[9],[5.391164302825928],[9],[5.7]
Molecule_179,OCCCCc1ccncc1,[8],[5.725115776062012],[8],[6.01]
Molecule_180,OCC(CO)(CO)C(O)=O,[8],[3.5455551147460938],[8],[4.46]
Molecule_181,OCC(O)(CO)C(O)=O,[7],[3.5443968772888184],[7],[3.34]
Molecule_182,OCC(O)=O,[3],[3.349336624145508],[3],[3.73]
Molecule_183,OCC(O)C(O)=O,[5],[3.0893115997314453],[5],[3.47]
Molecule_184,OCC(O)CO[P](O)(O)=O,[],[],[7],[6.15]
Molecule_185,OCC(O)CS,[5],[9.186843872070312],[5],[9.3]
Molecule_186,OCC1=CC(=O)C(=C(I)O1)O,[10],[7.48105525970459],[10],[6.53]
Molecule_187,CCCCN,[4],[9.589542388916016],[4],[10.75]
Molecule_188,CCCCN1C=CC=C(O)C1=O,"[4, 9]","[6.176045894622803, 9.263351440429688]",[9],[9.06]
Molecule_189,OC(=O)c1cccc(Br)c1,[0],[3.1337075233459473],[0],[3.81]
Molecule_190,OC(=O)c1cccc(F)c1,[0],[3.1337075233459473],[0],[3.77]
Molecule_191,OC(=O)c1cccc(F)c1F,[0],[3.1337075233459473],[0],[3.1]
Molecule_192,OC(=O)c1cccc(I)c1,[0],[3.1337075233459473],[0],[3.85]
Molecule_193,OC(=O)c1cccc(Oc2ccccc2)c1,[0],[3.1337075233459473],[0],[3.95]
Molecule_194,CCCCC(N)C(=O)OC,[5],[8.606364250183105],[5],[7.68]
Molecule_195,CCCCC(O)C(O)=O,[7],[3.685181140899658],[7],[3.68]
Molecule_196,CCCCCCN,[6],[9.77000904083252],[6],[10.64]
Molecule_197,CCCCCCSCC(O)=O,[9],[3.9378304481506348],[9],[3.65]
Molecule_198,CCCCCN,[5],[9.77000904083252],[5],[10.66]
Molecule_199,CCCCCSCC(O)=O,[8],[3.8985843658447266],[8],[3.64]
Molecule_200,OC1=C(Br)C=CC=CC1=O,[0],[6.863521099090576],[0],[5.14]
Molecule_201,OC1=CC(=O)Oc2ccccc12,[0],[7.355165004730225],[0],[4.11]
Molecule_202,OC1=CC=C(C=CC1=O)C#N,[0],[7.463690757751465],[0],[3.72]
Molecule_203,CCC1=C(O)C(=O)C=CO1,[4],[7.991011619567871],[4],[8.56]
Molecule_204,CCCC(N)C(=O)OC,[4],[8.64995002746582],[4],[7.66]
Molecule_205,CCCC(O)(CCC)C(O)=O,[9],[3.9403157234191895],[9],[3.8]
Molecule_206,OC(=O)c1occc1,[0],[3.1337075233459473],[0],[3.05]
Molecule_207,OC(=O)c1sccc1,[0],[3.1337075233459473],[0],[3.41]
Molecule_208,OC(C(O)=O)c1ccccc1,[3],[3.1100106239318848],[3],[3.29]
Molecule_209,OC(CC(O)=O)c1ccccc1,[4],[3.5520286560058594],[4],[4.4]
Molecule_210,OC(Cc1ccccn1)c2ccccc2,[8],[5.492943286895752],[8],[5.2]
Molecule_211,CCCc1ccccc1O,[9],[9.065640449523926],[9],[10.5]
Molecule_212,CCCc1ccccn1,[8],[5.215362548828125],[8],[6.05]
Molecule_213,CCCn1ccnc1,"[3, 6]","[6.576784610748291, 5.966578960418701]",[3],[7.22]
Molecule_214,CCN,[2],[9.25727367401123],[2],[10.73]
Molecule_215,CCN(CC)C(=O)CCN,[9],[8.917008399963379],[9],[9.44]
Molecule_216,CCN(CC)C(=O)CN,[8],[8.936531066894531],[8],[8.45]
Molecule_217,OC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,[0],[3.1337075233459473],[0],[2.68]
Molecule_218,CCCN,[3],[9.77000904083252],[3],[10.65]
Molecule_219,CCCOCC(O)=O,[6],[3.74758243560791],[6],[3.59]
Molecule_220,CCCSCC(O)=O,[6],[4.084409236907959],[6],[3.7]
Molecule_221,CCCSCCN,[6],[9.796921730041504],[6],[9.45]
Molecule_222,CCC[S](O)(=O)=O,[4],[1.5658488273620605],[4],[1.53]
Molecule_223,OC(=O)c1ccccc1c2ccccc2C(O)=O,"[0, 16]","[3.1337075233459473, 3.570258617401123]",[0],[3.27]
Molecule_224,CCCCOC(=O)CN,[8],[9.089536666870117],[8],[7.78]
Molecule_225,CCCCO[P](O)(O)=O,[],[],[6],[6.72]
Molecule_226,CCCCSCC(O)=O,[7],[3.689802646636963],[7],[3.72]
Molecule_227,CCCC[Se]CC(O)=O,[7],[3.8803138732910156],[7],[3.82]
Molecule_228,CCCCn1ccnc1,"[4, 7]","[6.647799491882324, 5.401593208312988]",[4],[7.22]
Molecule_229,OC(=O)c1cccc(c1)C#N,[0],[3.1337075233459473],[0],[3.6]
Molecule_230,OC(=O)c1cccc(c1)[N+]([O-])=O,[0],[3.1337075233459473],[0],[3.36]
Molecule_231,OC(=O)c1cccc[n+]1[O-],[0],[3.1337075233459473],[8],[3.31]
Molecule_232,OC(=O)c1ccccc1Br,[0],[3.1337075233459473],[0],[2.85]
Molecule_233,OC(=O)c1ccccc1F,[0],[3.1337075233459473],[0],[3.47]
Molecule_234,OC(=O)c1ccccc1I,[0],[3.1337075233459473],[0],[2.86]
Molecule_235,OC(=O)c1ccccc1Oc2ccccc2,[0],[3.1337075233459473],[0],[3.53]
Molecule_236,OC(=O)c1ccccc1[N+]([O-])=O,[0],[3.1337075233459473],[0],[2.19]
Molecule_237,CCOC(=O)CNC(=O)CN,[10],[8.897786140441895],[10],[7.73]
Molecule_238,CCOC(=O)CSCC(O)=O,[9],[3.3899049758911133],[9],[3.66]
Molecule_239,OC(=O)Cc1cccc(I)c1,[0],[3.1337075233459473],[0],[4.16]
Molecule_240,OC(=O)Cc1cccc(c1)[N+]([O-])=O,[0],[3.1337075233459473],[0],[3.97]
Molecule_241,OC(=O)Cc1ccccc1Br,[0],[3.1337075233459473],[0],[4.05]
Molecule_242,CCOC(=O)C(N)C(C)C,[6],[7.684685230255127],[6],[7.75]
Molecule_243,CCOC(=O)C(N)CC(C)C,[6],[7.684685230255127],[6],[7.65]
Molecule_244,CCOC(=O)C(N)Cc1ccccc1,[6],[7.684685230255127],[6],[7.12]
Molecule_245,CCOC(=O)CCC(N)C(=O)OCC,[8],[8.032851219177246],[8],[7.04]
Molecule_246,CCOC(=O)CCCCN,[9],[8.958983421325684],[9],[10.15]
Molecule_247,CCOC(=O)CCCN,[8],[8.794291496276855],[8],[9.71]
Molecule_248,CCOC(=O)CCN,[7],[8.764989852905273],[7],[9.18]
Molecule_249,CCOC(=O)CN,[6],[8.561394691467285],[6],[7.71]
Molecule_250,CCN(CC)c1ccc(C)cc1,[],[],[2],[7.24]
Molecule_251,CCN(CCO)c1ccccc1C(O)=O,"[2, 13]","[7.884981155395508, 4.057506561279297]",[2],[8.99]
Molecule_252,CCN1C=C(C(O)=O)C(=O)c2ccc(C)nc12,"[2, 6]","[5.867231845855713, 3.403231620788574]",[2],[5.94]
Molecule_253,CCN1CCCCC1,[2],[9.204127311706543],[2],[10.61]
Molecule_254,CCNC(=O)CN,[6],[8.8077974319458],[6],[8.19]
Molecule_255,CCOC(=O)C(C)N,[7],[7.684685707092285],[7],[7.91]
Molecule_256,OC(=O)c1ccc(Br)cc1,[0],[3.1337075233459473],[0],[4.0]
Molecule_257,OC(=O)c1ccc(F)c(F)c1,[0],[3.1337075233459473],[0],[3.79]
Molecule_258,OC(=O)c1ccc(F)cc1,[0],[3.1337075233459473],[0],[4.04]
Molecule_259,OC(=O)c1ccc(F)cc1F,[0],[3.1337075233459473],[0],[3.44]
Molecule_260,OC(=O)c1ccc(I)cc1,[0],[3.1337075233459473],[0],[4.0]
Molecule_261,OC(=O)c1ccc(Oc2ccccc2)cc1,[0],[3.1337075233459473],[0],[4.52]
Molecule_262,OC(=O)c1ccc(cc1)C#N,[0],[3.1337075233459473],[0],[3.55]
Molecule_263,OC(=O)c1ccc(cc1)[N+]([O-])=O,[0],[3.1337075233459473],[0],[3.36]
Molecule_264,CCS,[2],[8.592089653015137],[2],[10.61]
Molecule_265,CCSCC(O)=O,[5],[3.5036916732788086],[5],[3.62]
Molecule_266,CCSCCN,[5],[9.280266761779785],[5],[9.44]
Molecule_267,CCSCCSCC(O)=O,[8],[3.622704029083252],[8],[3.61]
Molecule_268,CCSCCc1ccccn1,[10],[4.887828350067139],[10],[5.33]
Molecule_269,CCSCc1ccccn1,[9],[5.158730983734131],[9],[4.72]
Molecule_270,OC(=O)CSCCc1ccccc1,[0],[3.1337075233459473],[0],[3.8]
Molecule_271,OC(=O)CSCc1ccccc1,[0],[3.1337075233459473],[0],[3.67]
Molecule_272,CCOc1cc(O)cc(OCC)c1,[6],[8.326711654663086],[6],[9.37]
Molecule_273,CCOc1ccc(N)cc1,[7],[4.552569389343262],[7],[5.25]
Molecule_274,CCOc1ccc([Se]CC(O)=O)cc1,[10],[3.5137572288513184],[10],[3.75]
Molecule_275,CCOc1cccc(N)c1,[8],[4.186137676239014],[8],[4.17]
Molecule_276,CCOc1cccc(O)c1,[8],[9.357781410217285],[8],[9.65]
Molecule_277,CCOc1ccccc1N,[9],[4.466212749481201],[9],[4.48]
Molecule_278,CCOc1ccccc1S,[9],[6.988732814788818],[9],[7.06]
Molecule_279,CCOc1ccccc1[Se]CC(O)=O,[12],[3.5156002044677734],[12],[3.79]
Molecule_280,OC(=O)c1cc(F)cc(F)c1,[0],[3.1337075233459473],[0],[3.52]
Molecule_281,OC(=O)c1cc(F)ccc1F,[0],[3.1337075233459473],[0],[3.11]
Molecule_282,CCOC(=O)c1cc(C)nc(C)c1,[],[],[9],[5.27]
Molecule_283,CCOC(C)n1cnc2c(N)ncnc12,"[7, 10]","[5.00482177734375, 3.9396677017211914]",[10],[3.7]
Molecule_284,CCOCC(O)=O,[5],[3.6561455726623535],[5],[3.58]
Molecule_285,CCOC[P](O)(O)=O,[],[],[5],[7.02]
Molecule_286,OC(=O)Cc1ccccc1I,[0],[3.1337075233459473],[0],[4.04]
Molecule_287,OC(=O)Cc1ccccc1[N+]([O-])=O,[0],[3.1337075233459473],[0],[4.0]
Molecule_288,OC(=O)[C@@H]1CCC(=O)N1,[0],[3.1337075233459473],[0],[3.1]
Molecule_289,OC(=O)[C@@H]1CC[C@H](CC1)C(O)=O,"[0, 10]","[3.1337075233459473, 3.77260160446167]",[0],[5.18]
Molecule_290,OC(=O)[C@@]1(CCC(=O)N1)c2ccccc2,[0],[3.1337075233459473],[0],[2.69]
