smiles,pka_values,functional_groups,mapping,pka_matrix
C[Se]c1cccc2cccnc12,[3.25],"[{'type': 'Pyridine', 'indices': [10]}]","{'3.25': {'type': 'Pyridine', 'indices': [10]}}","[(10, 3.25)]"
Cc1csc(N)n1,[5.95],"[{'type': 'Aniline', 'indices': [5]}]","{'5.95': {'type': 'Aniline', 'indices': [5]}}","[(5, 5.95)]"
OCNC(=O)c1cccnc1,[3.41],"[{'type': 'Pyridine', 'indices': [9]}]","{'3.41': {'type': 'Pyridine', 'indices': [9]}}","[(9, 3.41)]"
NCCCC[C@H](N)C(=O)N[C@H](CCCCN)C(=O)N[C@@H](CCCCN)C(O)=O,"[2.8, 7.18, 9.68, 10.43, 11.31]","[{'type': 'COOH', 'indices': [26]}, {'type': 'PrimaryAmine', 'indices': [0]}, {'type': 'PrimaryAmine', 'indices': [6]}, {'type': 'PrimaryAmine', 'indices': [15]}, {'type': 'PrimaryAmine', 'indices': [24]}]","{'2.8': {'type': 'COOH', 'indices': [26]}, '7.18': {'type': 'PrimaryAmine', 'indices': [0]}, '9.68': {'type': 'PrimaryAmine', 'indices': [6]}, '10.43': {'type': 'PrimaryAmine', 'indices': [15]}, '11.31': {'type': 'PrimaryAmine', 'indices': [24]}}","[(26, 2.8), (0, 7.18), (6, 9.68), (15, 10.43), (24, 11.31)]"
CCOC(=O)c1cc(C)nc(C)c1,[5.27],"[{'type': 'Pyridine', 'indices': [9]}]","{'5.27': {'type': 'Pyridine', 'indices': [9]}}","[(9, 5.27)]"
COCc1cc(C)nc(N)c1CN,"[5.78, 8.96]","[{'type': 'Pyridine', 'indices': [7]}, {'type': 'Aniline', 'indices': [9]}, {'type': 'PrimaryAmine', 'indices': [12]}]","{'5.78': {'type': 'Aniline', 'indices': [9]}, '8.96': {'type': 'PrimaryAmine', 'indices': [12]}}","[(9, 5.78), (12, 8.96)]"
CC(C(O)=O)C(O)=O,"[2.89, 5.36]","[{'type': 'COOH', 'indices': [3]}, {'type': 'COOH', 'indices': [6]}]","{'2.89': {'type': 'COOH', 'indices': [3]}, '5.36': {'type': 'COOH', 'indices': [6]}}","[(3, 2.89), (6, 5.36)]"
NCCSCc1ccccn1,"[4.21, 9.28]","[{'type': 'Pyridine', 'indices': [10]}, {'type': 'PrimaryAmine', 'indices': [0]}]","{'4.21': {'type': 'Pyridine', 'indices': [10]}, '9.28': {'type': 'PrimaryAmine', 'indices': [0]}}","[(10, 4.21), (0, 9.28)]"
N[C@@H](Cc1ccc(O)cc1)C(=O)NCC(=O)NCC(O)=O,"[3.22, 7.37, 10.09]","[{'type': 'COOH', 'indices': [19]}, {'type': 'Phenol', 'indices': [7]}, {'type': 'PrimaryAmine', 'indices': [0]}]","{'3.22': {'type': 'COOH', 'indices': [19]}, '7.37': {'type': 'PrimaryAmine', 'indices': [0]}, '10.09': {'type': 'Phenol', 'indices': [7]}}","[(19, 3.22), (0, 7.37), (7, 10.09)]"
Nc1c(O)cccc1C(O)=O,"[5.19, 10.12]","[{'type': 'COOH', 'indices': [9]}, {'type': 'Phenol', 'indices': [3]}, {'type': 'Aniline', 'indices': [0]}]","{'5.19': {'type': 'Aniline', 'indices': [0]}, '10.12': {'type': 'Phenol', 'indices': [3]}}","[(0, 5.19), (3, 10.12)]"
NCC1CCCCC1,[10.7],"[{'type': 'PrimaryAmine', 'indices': [0]}]","{'10.7': {'type': 'PrimaryAmine', 'indices': [0]}}","[(0, 10.7)]"
Nc1ncccn1,[3.89],"[{'type': 'Aniline', 'indices': [0]}]","{'3.89': {'type': 'Aniline', 'indices': [0]}}","[(0, 3.89)]"
CCc1cccc(O)c1,[10.07],"[{'type': 'Phenol', 'indices': [7]}]","{'10.07': {'type': 'Phenol', 'indices': [7]}}","[(7, 10.07)]"
O=Cc1ccncc1,[4.65],"[{'type': 'Pyridine', 'indices': [5]}]","{'4.65': {'type': 'Pyridine', 'indices': [5]}}","[(5, 4.65)]"
CC1=CC(=CC(=O)O1)O,[4.76],"[{'type': 'Phenol', 'indices': [8]}]","{'4.76': {'type': 'Phenol', 'indices': [8]}}","[(8, 4.76)]"
CC(C)(NC(=O)CNC(=O)CN)C(=O)NCC(O)=O,"[3.55, 7.98]","[{'type': 'COOH', 'indices': [17]}, {'type': 'PrimaryAmine', 'indices': [11]}]","{'3.55': {'type': 'COOH', 'indices': [17]}, '7.98': {'type': 'PrimaryAmine', 'indices': [11]}}","[(17, 3.55), (11, 7.98)]"
COc1ccccc1[Se]CC(O)=O,[3.76],"[{'type': 'COOH', 'indices': [11]}]","{'3.76': {'type': 'COOH', 'indices': [11]}}","[(11, 3.76)]"
Cc1ccccc1SCC(O)=O,[3.27],"[{'type': 'COOH', 'indices': [10]}]","{'3.27': {'type': 'COOH', 'indices': [10]}}","[(10, 3.27)]"
C[C@H](NC(C)=O)C(O)=O,[3.71],"[{'type': 'COOH', 'indices': [7]}]","{'3.71': {'type': 'COOH', 'indices': [7]}}","[(7, 3.71)]"
NCCSCCO,[9.27],"[{'type': 'PrimaryAmine', 'indices': [0]}]","{'9.27': {'type': 'PrimaryAmine', 'indices': [0]}}","[(0, 9.27)]"
OC(=O)CSCC(O)=O,"[3.26, 4.19]","[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [7]}]","{'3.26': {'type': 'COOH', 'indices': [0]}, '4.19': {'type': 'COOH', 'indices': [7]}}","[(0, 3.26), (7, 4.19)]"
CCC(C)C(N)C(=O)OC,[7.54],"[{'type': 'PrimaryAmine', 'indices': [5]}]","{'7.54': {'type': 'PrimaryAmine', 'indices': [5]}}","[(5, 7.54)]"
Cc1ncc(CO)c(CO)c1O,"[4.83, 8.86]","[{'type': 'Phenol', 'indices': [11]}, {'type': 'Pyridine', 'indices': [2]}]","{'4.83': {'type': 'Pyridine', 'indices': [2]}, '8.86': {'type': 'Phenol', 'indices': [11]}}","[(2, 4.83), (11, 8.86)]"
N[C@@H](Cc1ccc(O)cc1)C(=O)NO,"[6.96, 8.92, 9.93]","[{'type': 'Phenol', 'indices': [7]}, {'type': 'NHydroxylamine', 'indices': [13]}, {'type': 'PrimaryAmine', 'indices': [0]}]","{'6.96': {'type': 'Phenol', 'indices': [7]}, '8.92': {'type': 'PrimaryAmine', 'indices': [0]}, '9.93': {'type': 'NHydroxylamine', 'indices': [13]}}","[(7, 6.96), (0, 8.92), (13, 9.93)]"
C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](N)CCC(O)=O)C(O)=O,"[3.13, 4.08, 7.77]","[{'type': 'COOH', 'indices': [20]}, {'type': 'COOH', 'indices': [23]}, {'type': 'PrimaryAmine', 'indices': [16]}]","{'3.13': {'type': 'COOH', 'indices': [20]}, '4.08': {'type': 'COOH', 'indices': [23]}, '7.77': {'type': 'PrimaryAmine', 'indices': [16]}}","[(20, 3.13), (23, 4.08), (16, 7.77)]"
OC(=O)CBr,[2.82],"[{'type': 'COOH', 'indices': [0]}]","{'2.82': {'type': 'COOH', 'indices': [0]}}","[(0, 2.82)]"
CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)CN)C(O)=O,"[3.52, 8.1]","[{'type': 'COOH', 'indices': [19]}, {'type': 'PrimaryAmine', 'indices': [17]}]","{'3.52': {'type': 'COOH', 'indices': [19]}, '8.1': {'type': 'PrimaryAmine', 'indices': [17]}}","[(19, 3.52), (17, 8.1)]"
NCC(=O)N1CCC[C@H]1C(=O)N[C@H](Cc2ccccc2)C(=O)NCC(O)=O,[8.64],"[{'type': 'COOH', 'indices': [25]}, {'type': 'PrimaryAmine', 'indices': [0]}]","{'8.64': {'type': 'PrimaryAmine', 'indices': [0]}}","[(0, 8.64)]"
Cc1cc(ccc1N(CC(O)=O)CC(O)=O)N(CC(O)=O)CC(O)=O,"[2.27, 3.07, 4.96, 7.1]","[{'type': 'COOH', 'indices': [10]}, {'type': 'COOH', 'indices': [14]}, {'type': 'COOH', 'indices': [19]}, {'type': 'COOH', 'indices': [23]}, {'type': 'TertiaryAmine', 'indices': [7]}, {'type': 'TertiaryAmine', 'indices': [16]}]","{'2.27': {'type': 'COOH', 'indices': [10]}, '3.07': {'type': 'COOH', 'indices': [14]}, '4.96': {'type': 'COOH', 'indices': [19]}, '7.1': {'type': 'TertiaryAmine', 'indices': [7]}}","[(10, 2.27), (14, 3.07), (19, 4.96), (7, 7.1)]"
CC(C)c1cccc(C(C)C)c1NC(=O)CN(CC(O)=O)CC(O)=O,"[2.2, 5.83]","[{'type': 'COOH', 'indices': [19]}, {'type': 'COOH', 'indices': [23]}, {'type': 'TertiaryAmine', 'indices': [16]}]","{'2.2': {'type': 'COOH', 'indices': [19]}, '5.83': {'type': 'COOH', 'indices': [23]}}","[(19, 2.2), (23, 5.83)]"
NCCc1c[nH]c(S)n1,"[9.12, 11.62]","[{'type': 'Thiol', 'indices': [7]}, {'type': 'Imidazole', 'indices': [8]}, {'type': 'PrimaryAmine', 'indices': [0]}]","{'9.12': {'type': 'Thiol', 'indices': [7]}, '11.62': {'type': 'PrimaryAmine', 'indices': [0]}}","[(7, 9.12), (0, 11.62)]"
CC(C)CCN,[10.64],"[{'type': 'PrimaryAmine', 'indices': [5]}]","{'10.64': {'type': 'PrimaryAmine', 'indices': [5]}}","[(5, 10.64)]"
COC(=O)CN(C)C(=O)CN,[8.01],"[{'type': 'PrimaryAmine', 'indices': [10]}]","{'8.01': {'type': 'PrimaryAmine', 'indices': [10]}}","[(10, 8.01)]"
COc1ccc(SCC(O)=O)cc1,[3.43],"[{'type': 'COOH', 'indices': [9]}]","{'3.43': {'type': 'COOH', 'indices': [9]}}","[(9, 3.43)]"
OC(=O)CN(CC(O)=O)c1ccccc1,"[2.4, 5.01]","[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [7]}, {'type': 'TertiaryAmine', 'indices': [4]}]","{'2.4': {'type': 'COOH', 'indices': [0]}, '5.01': {'type': 'COOH', 'indices': [7]}}","[(0, 2.4), (7, 5.01)]"
OC(=O)CN(CC(O)=O)c1c(O)cc(c2ccccc12)[S](O)(=O)=O,"[2.16, 3.38, 8.85]","[{'type': 'SulfonicAcid', 'indices': [21]}, {'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [7]}, {'type': 'Phenol', 'indices': [11]}, {'type': 'TertiaryAmine', 'indices': [4]}]","{'2.16': {'type': 'COOH', 'indices': [0]}, '3.38': {'type': 'COOH', 'indices': [7]}, '8.85': {'type': 'Phenol', 'indices': [11]}}","[(0, 2.16), (7, 3.38), (11, 8.85)]"
OCCSCc1ccccn1,[4.61],"[{'type': 'Pyridine', 'indices': [10]}]","{'4.61': {'type': 'Pyridine', 'indices': [10]}}","[(10, 4.61)]"
CSc1ccccc1S,[5.75],"[{'type': 'Thiol', 'indices': [8]}]","{'5.75': {'type': 'Thiol (guess)', 'indices': [8]}}","[(8, 5.75)]"
Nc1cccc(O)c1,"[4.28, 9.92]","[{'type': 'Phenol', 'indices': [6]}, {'type': 'Aniline', 'indices': [0]}]","{'4.28': {'type': 'Aniline', 'indices': [0]}, '9.92': {'type': 'Phenol', 'indices': [6]}}","[(0, 4.28), (6, 9.92)]"
N[C@@H](CCC(N)=O)C(O)=O,"[2.31, 9.07]","[{'type': 'COOH', 'indices': [8]}, {'type': 'PrimaryAmine', 'indices': [0]}]","{'2.31': {'type': 'COOH', 'indices': [8]}, '9.07': {'type': 'PrimaryAmine', 'indices': [0]}}","[(8, 2.31), (0, 9.07)]"
CC[C@H](C)[C@H](N)C(=O)NCC(O)=O,"[3.04, 7.96]","[{'type': 'COOH', 'indices': [11]}, {'type': 'PrimaryAmine', 'indices': [5]}]","{'3.04': {'type': 'COOH', 'indices': [11]}, '7.96': {'type': 'PrimaryAmine', 'indices': [5]}}","[(11, 3.04), (5, 7.96)]"
NCC(=O)NCCCCCCNC(=O)CN,"[7.78, 8.41]","[{'type': 'PrimaryAmine', 'indices': [0]}, {'type': 'PrimaryAmine', 'indices': [15]}]","{'7.78': {'type': 'PrimaryAmine', 'indices': [0]}, '8.41': {'type': 'PrimaryAmine', 'indices': [15]}}","[(0, 7.78), (15, 8.41)]"
COc1ccc(CCN)cc1OC,[9.87],"[{'type': 'PrimaryAmine', 'indices': [8]}]","{'9.87': {'type': 'PrimaryAmine', 'indices': [8]}}","[(8, 9.87)]"
N[C@@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,[7.54],"[{'type': 'PrimaryAmine', 'indices': [0]}, {'type': 'AliphaticRingAlcohol', 'indices': [3]}, {'type': 'AliphaticRingAlcohol', 'indices': [9]}, {'type': 'AliphaticRingAlcohol', 'indices': [11]}]","{'7.54': {'type': 'PrimaryAmine', 'indices': [0]}}","[(0, 7.54)]"
CNC(=O)[C@H](CCSC)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc2ccc(O)cc2,"[7.01, 9.78]","[{'type': 'Phenol', 'indices': [38]}, {'type': 'PrimaryAmine', 'indices': [32]}]","{'7.01': {'type': 'PrimaryAmine', 'indices': [32]}, '9.78': {'type': 'Phenol', 'indices': [38]}}","[(32, 7.01), (38, 9.78)]"
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](C)C(O)=O,"[3.25, 4.23, 8.1]","[{'type': 'COOH', 'indices': [15]}, {'type': 'COOH', 'indices': [23]}, {'type': 'PrimaryAmine', 'indices': [2]}]","{'3.25': {'type': 'COOH', 'indices': [15]}, '4.23': {'type': 'COOH', 'indices': [23]}, '8.1': {'type': 'PrimaryAmine', 'indices': [2]}}","[(15, 3.25), (23, 4.23), (2, 8.1)]"
OC[C@H]1O[C@H](O[P](O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1O,"[1.5, 6.01]","[{'type': 'PhosphonicAcid', 'indices': [7]}, {'type': 'PhosphonicAcid', 'indices': [8]}, {'type': 'AliphaticRingAlcohol', 'indices': [11]}, {'type': 'AliphaticRingAlcohol', 'indices': [13]}, {'type': 'AliphaticRingAlcohol', 'indices': [15]}]","{'1.5': {'type': 'PhosphonicAcid', 'indices': [7]}, '6.01': {'type': 'PhosphonicAcid', 'indices': [8]}}","[(7, 1.5), (8, 6.01)]"
OC(=O)C[Se]CCCC=C,[3.8],"[{'type': 'COOH', 'indices': [0]}]","{'3.8': {'type': 'COOH', 'indices': [0]}}","[(0, 3.8)]"
OC(=O)CCc1c[nH]cn1,"[3.83, 7.44]","[{'type': 'COOH', 'indices': [0]}, {'type': 'Imidazole', 'indices': [9]}]","{'3.83': {'type': 'COOH', 'indices': [0]}, '7.44': {'type': 'Imidazole', 'indices': [9]}}","[(0, 3.83), (9, 7.44)]"
CC(=O)N[C@@H](CCC(O)=O)C(O)=O,"[3.29, 4.6]","[{'type': 'COOH', 'indices': [8]}, {'type': 'COOH', 'indices': [11]}]","{'3.29': {'type': 'COOH', 'indices': [8]}, '4.6': {'type': 'COOH', 'indices': [11]}}","[(8, 3.29), (11, 4.6)]"
CC[C@H](C)[C@H](NC(=O)[C@@H](N)CC(C)C)C(O)=O,"[3.42, 7.78]","[{'type': 'COOH', 'indices': [15]}, {'type': 'PrimaryAmine', 'indices': [9]}]","{'3.42': {'type': 'COOH', 'indices': [15]}, '7.78': {'type': 'PrimaryAmine', 'indices': [9]}}","[(15, 3.42), (9, 7.78)]"
C[C@H](N)C(=O)NCC(O)=O,"[3.13, 8.11]","[{'type': 'COOH', 'indices': [8]}, {'type': 'PrimaryAmine', 'indices': [2]}]","{'3.13': {'type': 'COOH', 'indices': [8]}, '8.11': {'type': 'PrimaryAmine', 'indices': [2]}}","[(8, 3.13), (2, 8.11)]"
OC(=O)CN(CC(O)=O)c1ccc(c2cc(cc(O)c12)[S](O)(=O)=O)[S](O)(=O)=O,"[2.58, 3.87, 9.48]","[{'type': 'SulfonicAcid', 'indices': [21]}, {'type': 'SulfonicAcid', 'indices': [25]}, {'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [7]}, {'type': 'Phenol', 'indices': [18]}, {'type': 'TertiaryAmine', 'indices': [4]}]","{'2.58': {'type': 'COOH', 'indices': [0]}, '3.87': {'type': 'COOH', 'indices': [7]}, '9.48': {'type': 'Phenol', 'indices': [18]}}","[(0, 2.58), (7, 3.87), (18, 9.48)]"
NCCCCSCCN,"[9.25, 10.44]","[{'type': 'PrimaryAmine', 'indices': [0]}, {'type': 'PrimaryAmine', 'indices': [8]}]","{'9.25': {'type': 'PrimaryAmine', 'indices': [0]}, '10.44': {'type': 'PrimaryAmine', 'indices': [8]}}","[(0, 9.25), (8, 10.44)]"
CN(CC(=O)NCC(O)=O)C(=O)CNC(=O)CN,"[3.34, 7.97]","[{'type': 'COOH', 'indices': [8]}, {'type': 'PrimaryAmine', 'indices': [17]}]","{'3.34': {'type': 'COOH', 'indices': [8]}, '7.97': {'type': 'PrimaryAmine', 'indices': [17]}}","[(8, 3.34), (17, 7.97)]"
OCCCCc1cccnc1,[5.7],"[{'type': 'Pyridine', 'indices': [9]}]","{'5.7': {'type': 'Pyridine', 'indices': [9]}}","[(9, 5.7)]"
OC(=O)Cc1ccccc1[N+]([O-])=O,[4.0],"[{'type': 'COOH', 'indices': [0]}]","{'4.0': {'type': 'COOH', 'indices': [0]}}","[(0, 4.0)]"
N[C@@H](Cc1ccc(O)cc1)C(=O)N2CCC[C@H]2C(=O)NCC(=O)N[C@@H](Cc3ccc(O)cc3)C(O)=O,"[2.74, 7.61, 9.75, 10.12]","[{'type': 'COOH', 'indices': [34]}, {'type': 'Phenol', 'indices': [7]}, {'type': 'Phenol', 'indices': [30]}, {'type': 'PrimaryAmine', 'indices': [0]}]","{'2.74': {'type': 'COOH', 'indices': [34]}, '7.61': {'type': 'PrimaryAmine', 'indices': [0]}, '9.75': {'type': 'Phenol', 'indices': [7]}, '10.12': {'type': 'Phenol', 'indices': [30]}}","[(34, 2.74), (0, 7.61), (7, 9.75), (30, 10.12)]"
OC(=O)\C=C/C(O)=O,"[1.74, 5.76]","[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [6]}]","{'1.74': {'type': 'COOH', 'indices': [0]}, '5.76': {'type': 'COOH', 'indices': [6]}}","[(0, 1.74), (6, 5.76)]"
CCc1[nH]ccn1,[7.92],"[{'type': 'Imidazole', 'indices': [6]}]","{'7.92': {'type': 'Imidazole', 'indices': [6]}}","[(6, 7.92)]"
Cc1cc(cc(C)n1)C#N,[3.68],"[{'type': 'Pyridine', 'indices': [7]}]","{'3.68': {'type': 'Pyridine', 'indices': [7]}}","[(7, 3.68)]"
CNC(=O)[C@@H](N)CC(C)C,[7.72],"[{'type': 'PrimaryAmine', 'indices': [5]}]","{'7.72': {'type': 'PrimaryAmine', 'indices': [5]}}","[(5, 7.72)]"
OC(=O)C(CCCC=C)C(O)=O,"[2.77, 5.37]","[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [10]}]","{'2.77': {'type': 'COOH', 'indices': [0]}, '5.37': {'type': 'COOH', 'indices': [10]}}","[(0, 2.77), (10, 5.37)]"
Cc1ccccc1C(=O)NO,[8.56],"[{'type': 'NHydroxylamine', 'indices': [10]}]","{'8.56': {'type': 'NHydroxylamine', 'indices': [10]}}","[(10, 8.56)]"
N[C@@H]1CC=CC[C@H]1C(O)=O,"[3.33, 10.29]","[{'type': 'COOH', 'indices': [8]}, {'type': 'PrimaryAmine', 'indices': [0]}]","{'3.33': {'type': 'COOH', 'indices': [8]}, '10.29': {'type': 'PrimaryAmine', 'indices': [0]}}","[(8, 3.33), (0, 10.29)]"
Oc1ccc2ccccc2c1[N+]([O-])=O,[5.75],"[{'type': 'Phenol', 'indices': [0]}]","{'5.75': {'type': 'Phenol', 'indices': [0]}}","[(0, 5.75)]"
CC(C)C[C@@H](N)C(=O)N[C@@H](CC(C)C)C(=O)NCC(O)=O,"[3.33, 7.87]","[{'type': 'COOH', 'indices': [19]}, {'type': 'PrimaryAmine', 'indices': [5]}]","{'3.33': {'type': 'COOH', 'indices': [19]}, '7.87': {'type': 'PrimaryAmine', 'indices': [5]}}","[(19, 3.33), (5, 7.87)]"
Nc1ccncc1[N+]([O-])=O,[5.05],"[{'type': 'Pyridine', 'indices': [4]}, {'type': 'Aniline', 'indices': [0]}]","{'5.05': {'type': 'Aniline', 'indices': [0]}}","[(0, 5.05)]"
NC(=O)[C@@H]1CCCN1,[8.69],"[{'type': 'SecondaryAmine', 'indices': [7]}]","{'8.69': {'type': 'SecondaryAmine', 'indices': [7]}}","[(7, 8.69)]"
NCCCCCc1ccncc1,"[5.99, 10.3]","[{'type': 'Pyridine', 'indices': [9]}, {'type': 'PrimaryAmine', 'indices': [0]}]","{'5.99': {'type': 'Pyridine', 'indices': [9]}, '10.3': {'type': 'PrimaryAmine', 'indices': [0]}}","[(9, 5.99), (0, 10.3)]"
OC(=O)CCS,"[4.3, 10.51]","[{'type': 'COOH', 'indices': [0]}, {'type': 'Thiol', 'indices': [5]}]","{'4.3': {'type': 'COOH', 'indices': [0]}, '10.51': {'type': 'Thiol', 'indices': [5]}}","[(0, 4.3), (5, 10.51)]"
OC(=O)C(=C)O[P](O)(O)=O,"[3.45, 6.24]","[{'type': 'PhosphonicAcid', 'indices': [7]}, {'type': 'PhosphonicAcid', 'indices': [8]}, {'type': 'COOH', 'indices': [0]}]","{'3.45': {'type': 'COOH', 'indices': [0]}, '6.24': {'type': 'PhosphonicAcid', 'indices': [7]}}","[(0, 3.45), (7, 6.24)]"
NCC(=O)NCC(=O)NCC(=O)NO,"[7.51, 8.4]","[{'type': 'NHydroxylamine', 'indices': [13]}, {'type': 'PrimaryAmine', 'indices': [0]}]","{'7.51': {'type': 'PrimaryAmine', 'indices': [0]}, '8.4': {'type': 'NHydroxylamine', 'indices': [13]}}","[(0, 7.51), (13, 8.4)]"
OC(=O)[C@@]1(CCC(=O)N1)c2ccccc2,[2.69],"[{'type': 'COOH', 'indices': [0]}]","{'2.69': {'type': 'COOH', 'indices': [0]}}","[(0, 2.69)]"
CCOC[P](O)(O)=O,[7.02],"[{'type': 'Phosphate', 'indices': [5]}, {'type': 'Phosphate', 'indices': [6]}]","{'7.02': {'type': 'Phosphate', 'indices': [5]}}","[(5, 7.02)]"
C1CNCCCNC1,"[7.07, 10.65]","[{'type': 'SecondaryAmine', 'indices': [2]}, {'type': 'SecondaryAmine', 'indices': [6]}]","{'7.07': {'type': 'SecondaryAmine', 'indices': [2]}, '10.65': {'type': 'SecondaryAmine', 'indices': [6]}}","[(2, 7.07), (6, 10.65)]"
OC(=O)CC(NCCNC(CC(O)=O)C(O)=O)C(O)=O,"[2.98, 3.91, 6.93, 10.07]","[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [12]}, {'type': 'COOH', 'indices': [15]}, {'type': 'COOH', 'indices': [18]}, {'type': 'SecondaryAmine', 'indices': [5]}, {'type': 'SecondaryAmine', 'indices': [8]}]","{'2.98': {'type': 'COOH', 'indices': [0]}, '3.91': {'type': 'COOH', 'indices': [12]}, '6.93': {'type': 'COOH', 'indices': [15]}, '10.07': {'type': 'SecondaryAmine', 'indices': [5]}}","[(0, 2.98), (12, 3.91), (15, 6.93), (5, 10.07)]"
OC(=O)CN(CC(O)=O)Cc1occc1,"[2.17, 8.4]","[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [7]}, {'type': 'TertiaryAmine', 'indices': [4]}]","{'2.17': {'type': 'COOH', 'indices': [0]}, '8.4': {'type': 'TertiaryAmine', 'indices': [4]}}","[(0, 2.17), (4, 8.4)]"
NCC(=O)NCCCCNC(=O)CN,"[7.78, 8.41]","[{'type': 'PrimaryAmine', 'indices': [0]}, {'type': 'PrimaryAmine', 'indices': [13]}]","{'7.78': {'type': 'PrimaryAmine', 'indices': [0]}, '8.41': {'type': 'PrimaryAmine', 'indices': [13]}}","[(0, 7.78), (13, 8.41)]"
