smiles,true_pka_pairs,pred_pka_pairs
['C[C@](N)(CCC(O)=O)C(O)=O'],"[(2, 9.720000267028809), (6, 4.050000190734863)]","[(2, -7.211170673370361), (6, -9.710708618164062)]"
['OC(=O)Cc1ccc(cc1)[N+]([O-])=O'],"[(0, 3.8499999046325684)]","[(0, -0.7101072669029236)]"
['CCC[C@H](N)C(O)=O'],"[(4, 9.779999732971191), (6, 2.319999933242798)]","[(4, -4.347236156463623), (6, -4.209865093231201)]"
['OC(=O)CN(CC(O)=O)c1ccccc1C(O)=O'],"[(0, 2.2699999809265137), (4, 7.739999771118164), (7, 2.990000009536743)]","[(0, -6.046514987945557), (4, -44.94983673095703), (7, -13.462041854858398)]"
['OC(=O)COc1ccccc1[N+]([O-])=O'],"[(0, 2.9000000953674316)]","[(0, -0.373399555683136)]"
['O=C1CC(=O)NCCNCCCCCNCCN1'],"[(8, 8.529999732971191), (14, 10.300000190734863)]","[(8, -7.870321273803711), (14, -6.94039249420166)]"
['OCC(O)CO[P](O)(O)=O'],"[(7, 6.150000095367432)]","[(7, -0.6673300266265869)]"
['OC(=O)CN(CC(O)=O)c1ccc(cc1)[S](O)(=O)=O'],"[(0, 2.309999942779541), (7, 4.539999961853027)]","[(0, -2.0216214656829834), (7, -10.74127197265625)]"
['OCC1=CC(=O)C(=C(CN2CCOCC2)O1)O'],"[(9, 7.880000114440918), (16, 5.139999866485596)]","[(9, -18.210460662841797), (16, -4.436004161834717)]"
['CN1CCN(C)CCN(C)CC(C)(C)CN(C)CC1'],"[(1, 7.949999809265137), (4, 11.399999618530273)]","[(1, -4.404976844787598), (4, -2.9226810932159424)]"
['Cc1cc(cc(C)n1)[N+]([O-])=O'],"[(7, 3.1500000953674316)]","[(7, -0.895319402217865)]"
['CN'],"[(1, 10.710000038146973)]","[(1, -0.13511952757835388)]"
['CC1(F)CNCCNCCCNCCNC1'],"[(4, 9.6899995803833), (7, 11.34000015258789)]","[(4, -20.445322036743164), (7, 0.3193729519844055)]"
['C[Si](C)(C)c1cccc(c1)C(O)=O'],"[(11, 4.090000152587891)]","[(11, -0.9181872606277466)]"
['CC(C)[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CCCNC(N)=N)C(O)=O'],"[(10, 3.0399999618530273), (20, 7.340000152587891), (25, 10.479999542236328), (34, 3.890000104904175)]","[(10, -184.70803833007812), (20, -351.1817626953125), (25, -443.671142578125), (34, -556.1105346679688)]"
['N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(O)=O'],"[(0, 8.130000114440918), (4, 1.7999999523162842), (12, 2.0399999618530273), (20, 3.869999885559082), (23, 4.78000020980835)]","[(0, -6564.35009765625), (4, -8370.0029296875), (12, -5300.77490234375), (20, -8371.66796875), (23, -10815.78515625)]"
['NCCN'],"[(0, 7.309999942779541), (3, 10.180000305175781)]","[(0, -0.7077599167823792), (3, -0.48219841718673706)]"
['CC(=O)c1cccnc1'],"[(7, 3.380000114440918)]","[(7, -1.1102426052093506)]"
['CC(CN(CC(O)=O)CC(O)=O)N(CC(O)=O)CC(O)=O'],"[(3, 11.010000228881836), (6, 1.7999999523162842), (10, 2.7899999618530273), (15, 6.28000020980835)]","[(3, -892.1068725585938), (6, -611.2365112304688), (10, -667.1163940429688), (15, -672.3707885742188)]"
['CCc1ccc(C)nc1'],"[(7, 6.429999828338623)]","[(7, -0.0932198315858841)]"
['Cc1cc(C)nc(N)n1'],"[(7, 5.099999904632568)]","[(7, -0.36367344856262207)]"
['CCOC(=O)NCCN(CC(O)=O)CC(O)=O'],"[(8, 8.569999694824219), (11, 2.200000047683716)]","[(8, -13.421934127807617), (11, -5.908290386199951)]"
['NCC(=O)NCC(N)=O'],"[(0, 7.78000020980835)]","[(0, -0.21887020766735077)]"
['C[C@H](N)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(O)=O'],"[(2, 7.900000095367432), (10, 3.180000066757202), (23, 4.070000171661377)]","[(2, -13.328259468078613), (10, -71.88967895507812), (23, -98.1204833984375)]"
['COc1ccc(cc1)C(O)=O'],"[(9, 4.369999885559082)]","[(9, -1.2502228021621704)]"
['CN1CCNCCN(C)CCNCC1'],"[(4, 9.40999984741211), (11, 10.760000228881836)]","[(4, -0.4684935212135315), (11, -5.756274700164795)]"
['CCN1C=CC(=O)C(=C1CC)O'],"[(2, 3.809999942779541), (11, 9.930000305175781)]","[(2, -4.017076015472412), (11, -1.821783423423767)]"
['NCc1ccc(cc1)C(F)(F)F'],"[(0, 8.84000015258789)]","[(0, -0.32880711555480957)]"
['CN(C)c1ccc(cc1)N=Nc2ccccc2[S](O)(=O)=O'],"[(18, 3.490000009536743)]","[(18, -0.4855160117149353)]"
['[nH]1cnc(c1)c2ccccn2'],"[(10, 5.489999771118164)]","[(10, -0.8073052763938904)]"
['ONC1=C(CCCC1)N=O'],"[(0, 10.630000114440918)]","[(0, -0.15017832815647125)]"
['COCCN(CC(O)=O)CC(O)=O'],"[(4, 9.050000190734863), (7, 2.2899999618530273)]","[(4, -9.438352584838867), (7, -1.6721441745758057)]"
['Nc1cccc2cccnc12'],"[(0, 3.990000009536743)]","[(0, -0.38333725929260254)]"
['C[C@H](N)C(=O)NCC(=O)NCC(=O)NCC(O)=O'],"[(2, 7.849999904632568), (16, 3.180000066757202)]","[(2, -2.398391008377075), (16, -5.341667175292969)]"
['Cc1ccc2cccc(O)c2n1'],"[(9, 8.829999923706055), (11, 5.650000095367432)]","[(9, -4.949330806732178), (11, -7.0745062828063965)]"
['CCOC(=O)C(N)Cc1ccccc1'],"[(6, 7.119999885559082)]","[(6, -0.5483744144439697)]"
['NC(=O)CCc1cccnc1'],"[(9, 5.210000038146973)]","[(9, -0.7555925846099854)]"
['Oc1ccc(CC=C)cc1'],"[(0, 10.229999542236328)]","[(0, -1.1118131875991821)]"
['OC(=O)CSCCc1ccccc1'],"[(0, 3.799999952316284)]","[(0, -0.27756041288375854)]"
['NC1=NC(=O)c2ncn(C3OC(CO[P](O)(=O)O[P](O)(O)=O)C(O)C3O)c2N1'],"[(15, 2.799999952316284), (19, 6.730000019073486)]","[(15, -23.493892669677734), (19, -16.50685691833496)]"
['NCCC(=O)NCC(N)=O'],"[(0, 9.140000343322754)]","[(0, -0.2264326512813568)]"
['COc1ccc(N)c(N)c1'],"[(6, 5.099999904632568)]","[(6, -0.9307451248168945)]"
['O[P](O)(=O)C[P](O)(O)=O'],"[(0, 1.5), (2, 2.609999895095825), (6, 6.909999847412109), (7, 10.279999732971191)]","[(0, -1695.7889404296875), (2, -1381.7755126953125), (6, -1253.4755859375), (7, -2497.288818359375)]"
['NCCc1cccc(CCN)n1'],"[(0, 9.710000038146973), (10, 10.34000015258789), (11, 3.430000066757202)]","[(0, -4.699705600738525), (10, -5.407578468322754), (11, -32.2337532043457)]"
['C[C@H](N)C(=O)N1CCC[C@H]1C(O)=O'],"[(2, 8.399999618530273), (11, 2.9000000953674316)]","[(2, -2.2374637126922607), (11, -11.650792121887207)]"
['CC(C)C(C#N)(C(C)C)C(O)=O'],"[(10, 2.559999942779541)]","[(10, -1.2525568008422852)]"
['CC(C)C[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(O)=O'],"[(5, 7.679999828338623), (18, 3.180000066757202)]","[(5, -2.495260000228882), (18, -6.269315719604492)]"
['NCC(=O)N[C@@H](CC(N)=O)C(O)=O'],"[(0, 8.239999771118164), (11, 2.990000009536743)]","[(0, -0.9265719652175903), (11, -5.775701522827148)]"
['CN(CC(O)=O)C(C)=O'],"[(4, 3.299999952316284)]","[(4, -0.8759795427322388)]"
['CNCC(=O)NCC(O)=O'],"[(1, 8.4399995803833), (8, 3.0)]","[(1, -1.901374101638794), (8, -1.2889297008514404)]"
['CC(C)C[C@H](N)C(=O)N[C@@H](CC(C)C)C(=O)NCC(O)=O'],"[(5, 7.619999885559082), (19, 3.559999942779541)]","[(5, -3.412205934524536), (19, -7.860291481018066)]"
['OC(C(O)=O)c1ccccc1'],"[(3, 3.2899999618530273)]","[(3, -0.8303300738334656)]"
['C[C@H](N)C(=O)N[C@@H](CCCNC(N)=N)C(O)=O'],"[(2, 7.949999809265137), (15, 2.990000009536743)]","[(2, -2.2182881832122803), (15, -8.96298599243164)]"
['Sc1ccc(Br)cc1'],"[(0, 6.019999980926514)]","[(0, -0.28191351890563965)]"
['NC1(CCCCCC1)C(O)=O'],"[(0, 10.460000038146973), (9, 2.5899999141693115)]","[(0, -8.338571548461914), (9, -4.8586201667785645)]"
['Cc1ccc(C)c(C)n1'],"[(8, 7.440000057220459)]","[(8, -0.39957255125045776)]"
['CC(C)C[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)CN)C(O)=O'],"[(17, 8.029999732971191), (19, 3.4200000762939453)]","[(17, -7.453040599822998), (19, -10.763008117675781)]"
['[O-][N+](=O)c1cc2cccnc2c3ncccc13'],"[(9, 3.240000009536743)]","[(9, -0.7152044177055359)]"
['NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O'],"[(0, 4.079999923706055)]","[(0, -0.25395840406417847)]"
['OCCN(CC(O)=O)c1ccccc1C(O)=O'],"[(3, 7.730000019073486), (6, 2.4100000858306885)]","[(3, -3.139012098312378), (6, -2.13438081741333)]"
['CNCCc1ccccn1'],"[(1, 9.960000038146973), (9, 4.019999980926514)]","[(1, -1.9277403354644775), (9, -6.57612419128418)]"
['CC(=O)c1ccc(S)cc1'],"[(7, 5.329999923706055)]","[(7, -0.5571908354759216)]"
['Cc1cc(O)cc(C)c1[N+]([O-])=O'],"[(4, 8.25)]","[(4, -0.28874266147613525)]"
['Cc1cccc(CO)n1'],"[(8, 5.429999828338623)]","[(8, -0.938974916934967)]"
['O=C1CC(=O)NCCCNCCCNCCCN1'],"[(9, 7.929999828338623), (13, 9.579999923706055)]","[(9, -3.9902403354644775), (13, -9.518542289733887)]"
['N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc3ccccc3)C(O)=O'],"[(0, 7.130000114440918), (32, 3.5199999809265137)]","[(0, -5.876486301422119), (32, -6.851276874542236)]"
['CCOC(=O)CCCN'],"[(8, 9.710000038146973)]","[(8, -0.31041693687438965)]"
['OC(=O)CC(Nc1ccc(NC(CC(O)=O)C(O)=O)cc1)C(O)=O'],"[(0, 3.0299999713897705), (14, 3.5799999237060547), (17, 4.619999885559082), (22, 6.630000114440918)]","[(0, -114.42901611328125), (14, -898.6917724609375), (17, -1110.8582763671875), (22, -675.39208984375)]"
['N[C@@H](CO)C(=O)N[C@@H](CCC(O)=O)C(O)=O'],"[(0, 7.420000076293945), (11, 2.940000057220459), (14, 4.340000152587891)]","[(0, -52.174503326416016), (11, -35.33118438720703), (14, -78.29508209228516)]"
['OC(=O)CN(CC(O)=O)c1cc(ccc1C(O)=O)C(O)=O'],"[(4, 7.539999961853027)]","[(4, -1.4657585620880127)]"
['C[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(O)=O'],"[(2, 7.900000095367432), (15, 3.200000047683716)]","[(2, -1.9547810554504395), (15, -8.647340774536133)]"
['OC(=O)/C=C/C(O)=O'],"[(0, 2.9200000762939453), (6, 4.079999923706055)]","[(0, -0.5412222743034363), (6, -7.974563121795654)]"
['OC(=O)CC#N'],"[(0, 2.5299999713897705)]","[(0, -0.2888832092285156)]"
['OC(=O)Cc1cccc(I)c1'],"[(0, 4.159999847412109)]","[(0, -0.6998161673545837)]"
['NCC(=O)N1CCC[C@H]1C(=O)NCC(=O)N2CCC[C@H]2C(=O)N[C@@H](CCC(N)=O)C(O)=O'],"[(0, 8.289999961853027), (30, 3.2200000286102295)]","[(0, -1.8068040609359741), (30, -10.877253532409668)]"
['OC(=O)CC1(CCCC1)CC(O)=O'],"[(0, 3.7799999713897705), (11, 6.590000152587891)]","[(0, -1.838906168937683), (11, -11.7135009765625)]"
['C(CN(Cc1ccccn1)Cc2ccccn2)N(Cc3ccccn3)Cc4ccccn4'],"[(2, 7.119999885559082), (9, 2.880000114440918), (16, 3.299999952316284), (24, 4.809999942779541)]","[(2, -933.7083129882812), (9, -785.9766235351562), (16, -991.6219482421875), (24, -1225.996337890625)]"
['Nc1ncnc2nc[nH]c12'],"[(0, 4.260000228881836)]","[(0, -0.5830894708633423)]"
['OCC(C(O)c1ccccc1)N(CC(O)=O)CC(O)=O'],"[(11, 8.640000343322754), (14, 2.5199999809265137)]","[(11, -12.69264030456543), (14, 0.3900476098060608)]"
['COC(=O)CCCN'],"[(7, 9.84000015258789)]","[(7, -0.3308241367340088)]"
['OCCCCCc1cccnc1'],"[(10, 5.71999979019165)]","[(10, -0.8002298474311829)]"
['OC(=O)c1c(C(O)=O)c(C(O)=O)c(C(O)=O)c(C(O)=O)c1C(O)=O'],"[(0, 0.8700000047683716), (6, 1.9900000095367432), (10, 2.950000047683716), (14, 4.539999961853027), (18, 5.389999866485596), (22, 6.510000228881836)]","[(0, -9332.630859375), (6, -76219.6484375), (10, -52492.3125), (14, -46354.2421875), (18, -100469.609375), (22, -82120.25)]"
['Oc1cccc2ccccc12'],"[(0, 9.170000076293945)]","[(0, -0.3235650062561035)]"
['OC(=O)c1cccc(I)c1'],"[(0, 3.8499999046325684)]","[(0, -0.15903985500335693)]"
['OC(=O)c1ccc(nc1)C(O)=O'],"[(0, 2.299999952316284), (7, 4.739999771118164)]","[(0, -1.98117995262146), (7, -2.7754783630371094)]"
['NC(=O)Cc1ccncc1'],"[(7, 5.079999923706055)]","[(7, -1.7447896003723145)]"
['OC(=O)CSCCCSCC(O)=O'],"[(0, 3.369999885559082), (11, 4.070000171661377)]","[(0, -1.8621351718902588), (11, -3.218125820159912)]"
['c1ccc2ncccc2c1'],"[(4, 4.889999866485596)]","[(4, -0.43403124809265137)]"
['Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O'],"[(0, 3.5999999046325684)]","[(0, -0.3569824695587158)]"
['NCCCCC(O)=O'],"[(0, 10.680000305175781), (6, 4.25)]","[(0, -0.7019256949424744), (6, -3.070709705352783)]"
['OC1C(O)C(OC1CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)N2C=CC(=O)NC2=O'],"[(10, 1.899999976158142), (14, 6.940000057220459)]","[(10, -1.781630277633667), (14, -7.161952018737793)]"
['CCC(O)(CC)C(O)=O'],"[(7, 3.680000066757202)]","[(7, -0.43966448307037354)]"
['CSCC[C@H](NC(=O)[C@@H](N)Cc1ccccc1)C(O)=O'],"[(9, 7.269999980926514), (18, 3.240000009536743)]","[(9, -3.9833967685699463), (18, -3.553518056869507)]"
['Cn1cnc2N=CNC(=O)c12'],"[(1, 9.069999694824219)]","[(1, -1.15507972240448)]"
['CO[P]([O-])(=O)O[P](O)(O)=O'],"[(7, 1.600000023841858), (8, 6.369999885559082)]","[(7, -8.561617851257324), (8, -8.934274673461914)]"
['NCCC(=O)NCC(=O)NCC(O)=O'],"[(0, 9.25), (12, 3.190000057220459)]","[(0, -1.1208720207214355), (12, -10.639547348022461)]"
['CCCCCCN'],"[(6, 10.640000343322754)]","[(6, -0.5713769793510437)]"
['c1ccc(nc1)c2cccnc2'],"[(4, 4.420000076293945)]","[(4, -1.1362359523773193)]"
['Nc1ccc(C(O)=O)c2ccccc12'],"[(0, 4.840000152587891), (6, 2.0)]","[(0, -0.8671180605888367), (6, -6.894266605377197)]"
['CC(=O)NC(Cc1ccc(O)cc1)C(O)=O'],"[(10, 9.880000114440918)]","[(10, -0.3927736282348633)]"
['NCCc1ccc(O)cc1'],"[(0, 10.5), (7, 9.399999618530273)]","[(0, -1.2674204111099243), (7, -4.129080772399902)]"
['Oc1ccccc1Br'],"[(0, 8.329999923706055)]","[(0, -0.8579520583152771)]"
['N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](Cc2ccccc2)C(O)=O'],"[(0, 7.659999847412109), (7, 9.989999771118164), (22, 2.859999895095825)]","[(0, -66.78617858886719), (7, -136.37646484375), (22, -82.74242401123047)]"
['OC(=O)CCI'],"[(0, 3.9800000190734863)]","[(0, -0.77106112241745)]"
['NCCC(=O)NO'],"[(0, 8.34000015258789), (6, 9.609999656677246)]","[(0, -2.3477511405944824), (6, -3.200183153152466)]"
['C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](C)C(O)=O'],"[(2, 8.289999961853027), (14, 3.2899999618530273), (22, 4.21999979019165)]","[(2, -66.6197738647461), (14, -75.63582611083984), (22, -115.9284896850586)]"
['CC(=O)CC(O)=O'],"[(5, 3.609999895095825)]","[(5, -0.7102886438369751)]"
['NCC[S](O)(=O)=O'],"[(0, 8.979999542236328), (4, 0.33000001311302185)]","[(0, -1.7911503314971924), (4, -17.124210357666016)]"
['OC(=O)Cc1ccccc1I'],"[(0, 4.039999961853027)]","[(0, -0.5790611505508423)]"
['CC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1c[nH]cn1)C(O)=O'],"[(18, 7.059999942779541), (20, 2.9600000381469727)]","[(18, -12.196428298950195), (20, -8.443199157714844)]"
['OC(=O)CSc1ccc(Br)cc1'],"[(0, 3.2200000286102295)]","[(0, -0.09672707319259644)]"
['Cc1ccc(CN)cc1'],"[(6, 9.510000228881836)]","[(6, -0.6203295588493347)]"
['OCCN(CCC(O)=O)CCC(O)=O'],"[(3, 8.90999984741211), (7, 3.930000066757202)]","[(3, -0.9711247086524963), (7, -1.7942214012145996)]"
['NCCCCCN'],"[(0, 9.930000305175781), (6, 10.960000038146973)]","[(0, -1.1835501194000244), (6, -1.690821886062622)]"
['NC1(CCCC1)C(O)=O'],"[(0, 10.3100004196167), (7, 2.4000000953674316)]","[(0, -0.6046586632728577), (7, -4.4469523429870605)]"
['Oc1ccc2ccc(cc2c1)[S](O)(=O)=O'],"[(0, 9.050000190734863)]","[(0, -1.0131622552871704)]"
['CC(C)S'],"[(3, 10.859999656677246)]","[(3, -1.1458063125610352)]"
['NCC(=O)NCC(=O)NCC(=O)N1CCC[C@H]1C(O)=O'],"[(0, 8.039999961853027), (18, 2.9100000858306885)]","[(0, -2.2054781913757324), (18, -10.571983337402344)]"
['OC(=O)c1ccc(Oc2ccccc2)cc1'],"[(0, 4.519999980926514)]","[(0, -0.3724592924118042)]"
['Cc1cc(Br)cc(C)n1'],"[(8, 5.409999847412109)]","[(8, -0.7356141209602356)]"
['Cc1cccc(OCC(O)=O)c1'],"[(9, 3.200000047683716)]","[(9, -0.7088053822517395)]"
['NCCCC[C@H](N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O'],"[(0, 7.46999979019165), (6, 11.0600004196167), (16, 9.789999961853027), (20, 3.0199999809265137)]","[(0, -23.279823303222656), (6, -94.9709701538086), (16, -146.75132751464844), (20, -147.6627960205078)]"
['Cc1ccc(SCC(O)=O)cc1'],"[(8, 3.3399999141693115)]","[(8, -0.7550644278526306)]"
['O=C1NCCNCCNCCNCCNC(=O)C1CCc2ccccn2'],"[(5, 8.630000114440918), (8, 10.15999984741211)]","[(5, -4.458285808563232), (8, -6.2301025390625)]"
['NCC(=O)NCCC(=O)NCC(O)=O'],"[(0, 8.050000190734863), (12, 3.299999952316284)]","[(0, -0.5726396441459656), (12, -2.9611330032348633)]"
['NC1=NC(=O)c2ncn(C3OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C3O)c2N1'],"[(15, 2.9100000858306885), (19, 6.789999961853027)]","[(15, -5.978301525115967), (19, -8.106139183044434)]"
['O[C@@H]1CCC[C@@H](C1)C(O)=O'],"[(8, 4.510000228881836)]","[(8, -0.6381925344467163)]"
['OC(=O)CSCCC=C'],"[(0, 3.609999895095825)]","[(0, -0.2047102302312851)]"
['CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(C)=O)C(=O)N[C@@H](Cc2c[nH]cn2)C(O)=O'],"[(14, 9.779999732971191), (30, 7.019999980926514), (32, 2.950000047683716)]","[(14, -70.3004150390625), (30, -128.5237579345703), (32, -97.66146087646484)]"
['Cc1ccccc1O'],"[(7, 10.199999809265137)]","[(7, -0.7329506278038025)]"
['Cc1cccc(C)c1NC(=O)CN(CC(O)=O)CC(O)=O'],"[(15, 2.1600000858306885), (19, 5.880000114440918)]","[(15, -2.0348432064056396), (19, -4.885451316833496)]"
['NCCc1c[nH]c2ccc(O)cc12'],"[(0, 11.130000114440918), (10, 9.850000381469727)]","[(0, -0.7614176869392395), (10, -3.392894744873047)]"
