smiles,true_pka_pairs,pred_pka_pairs
['OC(=O)CN(CC(O)=O)c1ccccc1C(O)=O'],"[(0, 2.2699999809265137), (4, 7.739999771118164), (7, 2.990000009536743)]","[(0, 11.095059394836426), (4, 9.291178703308105), (7, 11.149004936218262)]"
['OC(=O)COc1ccccc1[N+]([O-])=O'],"[(0, 2.9000000953674316)]","[(0, 6.258313179016113)]"
['O=C1CC(=O)NCCNCCCCCNCCN1'],"[(8, 8.529999732971191), (14, 10.300000190734863)]","[(8, 12.736062049865723), (14, 12.76032543182373)]"
['OCC(O)CO[P](O)(O)=O'],"[(7, 6.150000095367432)]","[(7, 6.830671310424805)]"
['OC(=O)CN(CC(O)=O)c1ccc(cc1)[S](O)(=O)=O'],"[(0, 2.309999942779541), (7, 4.539999961853027)]","[(0, 8.981109619140625), (7, 7.801990509033203)]"
['OCC1=CC(=O)C(=C(CN2CCOCC2)O1)O'],"[(9, 7.880000114440918), (16, 5.139999866485596)]","[(9, 13.448732376098633), (16, 10.374285697937012)]"
['CN1CCN(C)CCN(C)CC(C)(C)CN(C)CC1'],"[(1, 7.949999809265137), (4, 11.399999618530273)]","[(1, 12.926506996154785), (4, 14.460640907287598)]"
['Cc1cc(cc(C)n1)[N+]([O-])=O'],"[(7, 3.1500000953674316)]","[(7, 6.649631023406982)]"
['CN'],"[(1, 10.710000038146973)]","[(1, 11.626604080200195)]"
['CC1(F)CNCCNCCCNCCNC1'],"[(4, 9.6899995803833), (7, 11.34000015258789)]","[(4, 13.344199180603027), (7, 14.028450965881348)]"
['C[Si](C)(C)c1cccc(c1)C(O)=O'],"[(11, 4.090000152587891)]","[(11, 6.0970611572265625)]"
['CC(C)[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CCCNC(N)=N)C(O)=O'],"[(10, 3.0399999618530273), (20, 7.340000152587891), (25, 10.479999542236328), (34, 3.890000104904175)]","[(10, 11.715991973876953), (20, 17.808666229248047), (25, 10.953939437866211), (34, 14.084368705749512)]"
['N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(O)=O'],"[(0, 8.130000114440918), (4, 1.7999999523162842), (12, 2.0399999618530273), (20, 3.869999885559082), (23, 4.78000020980835)]","[(0, 10.692587852478027), (4, 15.786469459533691), (12, 18.31769371032715), (20, 12.35271167755127), (23, 10.387545585632324)]"
['NCCN'],"[(0, 7.309999942779541), (3, 10.180000305175781)]","[(0, 12.710068702697754), (3, 13.465270042419434)]"
['CC(=O)c1cccnc1'],"[(7, 3.380000114440918)]","[(7, 6.90657901763916)]"
['CC(CN(CC(O)=O)CC(O)=O)N(CC(O)=O)CC(O)=O'],"[(3, 11.010000228881836), (6, 1.7999999523162842), (10, 2.7899999618530273), (15, 6.28000020980835)]","[(3, 9.657204627990723), (6, 11.952747344970703), (10, 11.867552757263184), (15, 8.725882530212402)]"
['CCc1ccc(C)nc1'],"[(7, 6.429999828338623)]","[(7, 6.927011966705322)]"
['Cc1cc(C)nc(N)n1'],"[(7, 5.099999904632568)]","[(7, 5.771670341491699)]"
['CCOC(=O)NCCN(CC(O)=O)CC(O)=O'],"[(8, 8.569999694824219), (11, 2.200000047683716)]","[(8, 11.47807788848877), (11, 8.250523567199707)]"
['NCC(=O)NCC(N)=O'],"[(0, 7.78000020980835)]","[(0, 9.434797286987305)]"
['C[C@H](N)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(O)=O'],"[(2, 7.900000095367432), (10, 3.180000066757202), (23, 4.070000171661377)]","[(2, 9.327080726623535), (10, 11.169300079345703), (23, 10.983466148376465)]"
['COc1ccc(cc1)C(O)=O'],"[(9, 4.369999885559082)]","[(9, 6.115732192993164)]"
['CN1CCNCCN(C)CCNCC1'],"[(4, 9.40999984741211), (11, 10.760000228881836)]","[(4, 13.109513282775879), (11, 13.871030807495117)]"
['CCN1C=CC(=O)C(=C1CC)O'],"[(2, 3.809999942779541), (11, 9.930000305175781)]","[(2, 8.998636245727539), (11, 11.687039375305176)]"
['NCc1ccc(cc1)C(F)(F)F'],"[(0, 8.84000015258789)]","[(0, 10.217063903808594)]"
['CN(C)c1ccc(cc1)N=Nc2ccccc2[S](O)(=O)=O'],"[(18, 3.490000009536743)]","[(18, 6.750260353088379)]"
['[nH]1cnc(c1)c2ccccn2'],"[(10, 5.489999771118164)]","[(10, 6.926934242248535)]"
['ONC1=C(CCCC1)N=O'],"[(0, 10.630000114440918)]","[(0, 8.386760711669922)]"
['COCCN(CC(O)=O)CC(O)=O'],"[(4, 9.050000190734863), (7, 2.2899999618530273)]","[(4, 11.144816398620605), (7, 8.687670707702637)]"
['Nc1cccc2cccnc12'],"[(0, 3.990000009536743)]","[(0, 6.093931198120117)]"
['C[C@H](N)C(=O)NCC(=O)NCC(=O)NCC(O)=O'],"[(2, 7.849999904632568), (16, 3.180000066757202)]","[(2, 11.868733406066895), (16, 8.462753295898438)]"
['Cc1ccc2cccc(O)c2n1'],"[(9, 8.829999923706055), (11, 5.650000095367432)]","[(9, 11.032877922058105), (11, 7.822929382324219)]"
['CCOC(=O)C(N)Cc1ccccc1'],"[(6, 7.119999885559082)]","[(6, 9.396196365356445)]"
['NC(=O)CCc1cccnc1'],"[(9, 5.210000038146973)]","[(9, 7.1937127113342285)]"
['Oc1ccc(CC=C)cc1'],"[(0, 10.229999542236328)]","[(0, 9.985579490661621)]"
['OC(=O)CSCCc1ccccc1'],"[(0, 3.799999952316284)]","[(0, 6.2587666511535645)]"
['NC1=NC(=O)c2ncn(C3OC(CO[P](O)(=O)O[P](O)(O)=O)C(O)C3O)c2N1'],"[(15, 2.799999952316284), (19, 6.730000019073486)]","[(15, 9.099223136901855), (19, 7.771236419677734)]"
['NCCC(=O)NCC(N)=O'],"[(0, 9.140000343322754)]","[(0, 10.47481918334961)]"
['COc1ccc(N)c(N)c1'],"[(6, 5.099999904632568)]","[(6, 6.1908111572265625)]"
['O[P](O)(=O)C[P](O)(O)=O'],"[(0, 1.5), (2, 2.609999895095825), (6, 6.909999847412109), (7, 10.279999732971191)]","[(0, 24.400381088256836), (2, 21.76686668395996), (6, 8.732596397399902), (7, 10.250701904296875)]"
['NCCc1cccc(CCN)n1'],"[(0, 9.710000038146973), (10, 10.34000015258789), (11, 3.430000066757202)]","[(0, 13.426321983337402), (10, 11.904550552368164), (11, 9.898909568786621)]"
['C[C@H](N)C(=O)N1CCC[C@H]1C(O)=O'],"[(2, 8.399999618530273), (11, 2.9000000953674316)]","[(2, 11.86069107055664), (11, 8.773384094238281)]"
['CC(C)C(C#N)(C(C)C)C(O)=O'],"[(10, 2.559999942779541)]","[(10, 6.153958320617676)]"
['CC(C)C[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(O)=O'],"[(5, 7.679999828338623), (18, 3.180000066757202)]","[(5, 12.067267417907715), (18, 9.023138999938965)]"
['NCC(=O)N[C@@H](CC(N)=O)C(O)=O'],"[(0, 8.239999771118164), (11, 2.990000009536743)]","[(0, 12.695883750915527), (11, 8.128320693969727)]"
['CN(CC(O)=O)C(C)=O'],"[(4, 3.299999952316284)]","[(4, 6.108523368835449)]"
['CNCC(=O)NCC(O)=O'],"[(1, 8.4399995803833), (8, 3.0)]","[(1, 14.469094276428223), (8, 8.40954875946045)]"
['CC(C)C[C@H](N)C(=O)N[C@@H](CC(C)C)C(=O)NCC(O)=O'],"[(5, 7.619999885559082), (19, 3.559999942779541)]","[(5, 12.067267417907715), (19, 8.648383140563965)]"
['OC(C(O)=O)c1ccccc1'],"[(3, 3.2899999618530273)]","[(3, 6.091856956481934)]"
['C[C@H](N)C(=O)N[C@@H](CCCNC(N)=N)C(O)=O'],"[(2, 7.949999809265137), (15, 2.990000009536743)]","[(2, 11.868733406066895), (15, 8.735366821289062)]"
['Sc1ccc(Br)cc1'],"[(0, 6.019999980926514)]","[(0, 10.824894905090332)]"
['NC1(CCCCCC1)C(O)=O'],"[(0, 10.460000038146973), (9, 2.5899999141693115)]","[(0, 13.913281440734863), (9, 8.55517578125)]"
['Cc1ccc(C)c(C)n1'],"[(8, 7.440000057220459)]","[(8, 7.043850898742676)]"
['CC(C)C[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)CN)C(O)=O'],"[(17, 8.029999732971191), (19, 3.4200000762939453)]","[(17, 12.370787620544434), (19, 8.631852149963379)]"
['[O-][N+](=O)c1cc2cccnc2c3ncccc13'],"[(9, 3.240000009536743)]","[(9, 6.566474914550781)]"
['NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O'],"[(0, 4.079999923706055)]","[(0, 5.9351606369018555)]"
['OCCN(CC(O)=O)c1ccccc1C(O)=O'],"[(3, 7.730000019073486), (6, 2.4100000858306885)]","[(3, 8.395374298095703), (6, 8.142614364624023)]"
['CNCCc1ccccn1'],"[(1, 9.960000038146973), (9, 4.019999980926514)]","[(1, 14.998324394226074), (9, 8.121371269226074)]"
['CC(=O)c1ccc(S)cc1'],"[(7, 5.329999923706055)]","[(7, 10.612998962402344)]"
['Cc1cc(O)cc(C)c1[N+]([O-])=O'],"[(4, 8.25)]","[(4, 10.19398307800293)]"
['Cc1cccc(CO)n1'],"[(8, 5.429999828338623)]","[(8, 6.96392822265625)]"
['O=C1CC(=O)NCCCNCCCNCCCN1'],"[(9, 7.929999828338623), (13, 9.579999923706055)]","[(9, 12.066509246826172), (13, 14.13700008392334)]"
['N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc3ccccc3)C(O)=O'],"[(0, 7.130000114440918), (32, 3.5199999809265137)]","[(0, 10.164996147155762), (32, 8.925917625427246)]"
['CCOC(=O)CCCN'],"[(8, 9.710000038146973)]","[(8, 11.182404518127441)]"
['OC(=O)CC(Nc1ccc(NC(CC(O)=O)C(O)=O)cc1)C(O)=O'],"[(0, 3.0299999713897705), (14, 3.5799999237060547), (17, 4.619999885559082), (22, 6.630000114440918)]","[(0, 12.68836498260498), (14, 13.499791145324707), (17, 9.19985294342041), (22, 8.597881317138672)]"
['N[C@@H](CO)C(=O)N[C@@H](CCC(O)=O)C(O)=O'],"[(0, 7.420000076293945), (11, 2.940000057220459), (14, 4.340000152587891)]","[(0, 8.836295127868652), (11, 10.739398002624512), (14, 10.823460578918457)]"
['OC(=O)CN(CC(O)=O)c1cc(ccc1C(O)=O)C(O)=O'],"[(4, 7.539999961853027)]","[(4, 9.583189010620117)]"
['C[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(O)=O'],"[(2, 7.900000095367432), (15, 3.200000047683716)]","[(2, 11.868733406066895), (15, 8.376639366149902)]"
['OC(=O)/C=C/C(O)=O'],"[(0, 2.9200000762939453), (6, 4.079999923706055)]","[(0, 9.007007598876953), (6, 7.507416725158691)]"
['OC(=O)CC#N'],"[(0, 2.5299999713897705)]","[(0, 6.2591447830200195)]"
['OC(=O)Cc1cccc(I)c1'],"[(0, 4.159999847412109)]","[(0, 6.256941795349121)]"
['NCC(=O)N1CCC[C@H]1C(=O)NCC(=O)N2CCC[C@H]2C(=O)N[C@@H](CCC(N)=O)C(O)=O'],"[(0, 8.289999961853027), (30, 3.2200000286102295)]","[(0, 12.760601043701172), (30, 8.16736125946045)]"
['OC(=O)CC1(CCCC1)CC(O)=O'],"[(0, 3.7799999713897705), (11, 6.590000152587891)]","[(0, 8.981642723083496), (11, 7.463580131530762)]"
['C(CN(Cc1ccccn1)Cc2ccccn2)N(Cc3ccccn3)Cc4ccccn4'],"[(2, 7.119999885559082), (9, 2.880000114440918), (16, 3.299999952316284), (24, 4.809999942779541)]","[(2, 9.965834617614746), (9, 7.9849724769592285), (16, 10.364401817321777), (24, 8.415990829467773)]"
['Nc1ncnc2nc[nH]c12'],"[(0, 4.260000228881836)]","[(0, 5.937756061553955)]"
['OCC(C(O)c1ccccc1)N(CC(O)=O)CC(O)=O'],"[(11, 8.640000343322754), (14, 2.5199999809265137)]","[(11, 11.154891967773438), (14, 8.421042442321777)]"
['COC(=O)CCCN'],"[(7, 9.84000015258789)]","[(7, 10.39629077911377)]"
['OCCCCCc1cccnc1'],"[(10, 5.71999979019165)]","[(10, 7.149254322052002)]"
['OC(=O)c1c(C(O)=O)c(C(O)=O)c(C(O)=O)c(C(O)=O)c1C(O)=O'],"[(0, 0.8700000047683716), (6, 1.9900000095367432), (10, 2.950000047683716), (14, 4.539999961853027), (18, 5.389999866485596), (22, 6.510000228881836)]","[(0, 20.965036392211914), (6, 26.421598434448242), (10, 9.74740219116211), (14, 13.670380592346191), (18, 9.108963966369629), (22, 9.039495468139648)]"
['Oc1cccc2ccccc12'],"[(0, 9.170000076293945)]","[(0, 9.5797700881958)]"
['OC(=O)c1cccc(I)c1'],"[(0, 3.8499999046325684)]","[(0, 6.247988700866699)]"
['OC(=O)c1ccc(nc1)C(O)=O'],"[(0, 2.299999952316284), (7, 4.739999771118164)]","[(0, 8.936315536499023), (7, 5.929524898529053)]"
['NC(=O)Cc1ccncc1'],"[(7, 5.079999923706055)]","[(7, 7.057419776916504)]"
['OC(=O)CSCCCSCC(O)=O'],"[(0, 3.369999885559082), (11, 4.070000171661377)]","[(0, 8.981571197509766), (11, 7.50335693359375)]"
['c1ccc2ncccc2c1'],"[(4, 4.889999866485596)]","[(4, 7.147527694702148)]"
['Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O'],"[(0, 3.5999999046325684)]","[(0, 5.983585834503174)]"
['NCCCCC(O)=O'],"[(0, 10.680000305175781), (6, 4.25)]","[(0, 14.311333656311035), (6, 8.247763633728027)]"
['OC1C(O)C(OC1CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)N2C=CC(=O)NC2=O'],"[(10, 1.899999976158142), (14, 6.940000057220459)]","[(10, 8.876508712768555), (14, 8.449101448059082)]"
['CCC(O)(CC)C(O)=O'],"[(7, 3.680000066757202)]","[(7, 6.003169059753418)]"
['CSCC[C@H](NC(=O)[C@@H](N)Cc1ccccc1)C(O)=O'],"[(9, 7.269999980926514), (18, 3.240000009536743)]","[(9, 10.837679862976074), (18, 8.607529640197754)]"
['Cn1cnc2N=CNC(=O)c12'],"[(1, 9.069999694824219)]","[(1, 13.477048873901367)]"
['CO[P]([O-])(=O)O[P](O)(O)=O'],"[(7, 1.600000023841858), (8, 6.369999885559082)]","[(7, 8.761497497558594), (8, 8.447338104248047)]"
['NCCC(=O)NCC(=O)NCC(O)=O'],"[(0, 9.25), (12, 3.190000057220459)]","[(0, 14.282917976379395), (12, 8.321525573730469)]"
['CCCCCCN'],"[(6, 10.640000343322754)]","[(6, 11.03644847869873)]"
['c1ccc(nc1)c2cccnc2'],"[(4, 4.420000076293945)]","[(4, 6.882647514343262)]"
['Nc1ccc(C(O)=O)c2ccccc12'],"[(0, 4.840000152587891), (6, 2.0)]","[(0, 6.376590728759766), (6, 8.567936897277832)]"
['CC(=O)NC(Cc1ccc(O)cc1)C(O)=O'],"[(10, 9.880000114440918)]","[(10, 10.449576377868652)]"
['NCCc1ccc(O)cc1'],"[(0, 10.5), (7, 9.399999618530273)]","[(0, 14.281044960021973), (7, 9.782807350158691)]"
['Oc1ccccc1Br'],"[(0, 8.329999923706055)]","[(0, 9.559006690979004)]"
['N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](Cc2ccccc2)C(O)=O'],"[(0, 7.659999847412109), (7, 9.989999771118164), (22, 2.859999895095825)]","[(0, 9.885791778564453), (7, 11.836689949035645), (22, 10.6298246383667)]"
['OC(=O)CCI'],"[(0, 3.9800000190734863)]","[(0, 6.257639408111572)]"
['NCCC(=O)NO'],"[(0, 8.34000015258789), (6, 9.609999656677246)]","[(0, 12.724909782409668), (6, 10.647202491760254)]"
['C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](C)C(O)=O'],"[(2, 8.289999961853027), (14, 3.2899999618530273), (22, 4.21999979019165)]","[(2, 9.327080726623535), (14, 11.234719276428223), (22, 10.83775520324707)]"
['CC(=O)CC(O)=O'],"[(5, 3.609999895095825)]","[(5, 6.002150058746338)]"
['NCC[S](O)(=O)=O'],"[(0, 8.979999542236328), (4, 0.33000001311302185)]","[(0, 14.29603099822998), (4, 7.533369541168213)]"
['OC(=O)Cc1ccccc1I'],"[(0, 4.039999961853027)]","[(0, 6.2569427490234375)]"
['CC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1c[nH]cn1)C(O)=O'],"[(18, 7.059999942779541), (20, 2.9600000381469727)]","[(18, 7.608158111572266), (20, 8.965719223022461)]"
['OC(=O)CSc1ccc(Br)cc1'],"[(0, 3.2200000286102295)]","[(0, 6.2587666511535645)]"
['Cc1ccc(CN)cc1'],"[(6, 9.510000228881836)]","[(6, 10.751030921936035)]"
['OCCN(CCC(O)=O)CCC(O)=O'],"[(3, 8.90999984741211), (7, 3.930000066757202)]","[(3, 13.327784538269043), (7, 8.381324768066406)]"
['NCCCCCN'],"[(0, 9.930000305175781), (6, 10.960000038146973)]","[(0, 12.879868507385254), (6, 14.991475105285645)]"
['NC1(CCCC1)C(O)=O'],"[(0, 10.3100004196167), (7, 2.4000000953674316)]","[(0, 14.029692649841309), (7, 8.517541885375977)]"
['Oc1ccc2ccc(cc2c1)[S](O)(=O)=O'],"[(0, 9.050000190734863)]","[(0, 9.794995307922363)]"
['CC(C)S'],"[(3, 10.859999656677246)]","[(3, 10.62552547454834)]"
['NCC(=O)NCC(=O)NCC(=O)N1CCC[C@H]1C(O)=O'],"[(0, 8.039999961853027), (18, 2.9100000858306885)]","[(0, 12.695832252502441), (18, 8.39299201965332)]"
['OC(=O)c1ccc(Oc2ccccc2)cc1'],"[(0, 4.519999980926514)]","[(0, 6.248836517333984)]"
['Cc1cc(Br)cc(C)n1'],"[(8, 5.409999847412109)]","[(8, 6.5307536125183105)]"
['Cc1cccc(OCC(O)=O)c1'],"[(9, 3.200000047683716)]","[(9, 6.095130443572998)]"
['NCCCC[C@H](N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O'],"[(0, 7.46999979019165), (6, 11.0600004196167), (16, 9.789999961853027), (20, 3.0199999809265137)]","[(0, 17.366470336914062), (6, 8.989181518554688), (16, 12.897059440612793), (20, 12.76273250579834)]"
['Cc1ccc(SCC(O)=O)cc1'],"[(8, 3.3399999141693115)]","[(8, 6.034990310668945)]"
['O=C1NCCNCCNCCNCCNC(=O)C1CCc2ccccn2'],"[(5, 8.630000114440918), (8, 10.15999984741211)]","[(5, 12.161579132080078), (8, 14.01301383972168)]"
['NCC(=O)NCCC(=O)NCC(O)=O'],"[(0, 8.050000190734863), (12, 3.299999952316284)]","[(0, 12.695832252502441), (12, 8.136072158813477)]"
['NC1=NC(=O)c2ncn(C3OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C3O)c2N1'],"[(15, 2.9100000858306885), (19, 6.789999961853027)]","[(15, 9.493646621704102), (19, 7.542858600616455)]"
['O[C@@H]1CCC[C@@H](C1)C(O)=O'],"[(8, 4.510000228881836)]","[(8, 6.114346981048584)]"
['OC(=O)CSCCC=C'],"[(0, 3.609999895095825)]","[(0, 6.258766174316406)]"
['CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(C)=O)C(=O)N[C@@H](Cc2c[nH]cn2)C(O)=O'],"[(14, 9.779999732971191), (30, 7.019999980926514), (32, 2.950000047683716)]","[(14, 9.576048851013184), (30, 7.879817962646484), (32, 11.382025718688965)]"
['Cc1ccccc1O'],"[(7, 10.199999809265137)]","[(7, 9.916855812072754)]"
['Cc1cccc(C)c1NC(=O)CN(CC(O)=O)CC(O)=O'],"[(15, 2.1600000858306885), (19, 5.880000114440918)]","[(15, 8.408244132995605), (19, 7.577740669250488)]"
['NCCc1c[nH]c2ccc(O)cc12'],"[(0, 11.130000114440918), (10, 9.850000381469727)]","[(0, 14.279314994812012), (10, 9.84077262878418)]"
['OCCCCCc1ccccn1'],"[(11, 5.929999828338623)]","[(11, 7.055383682250977)]"
['OC(=O)[C@@H]1CC[C@H](CC1)C(O)=O'],"[(0, 5.179999828338623)]","[(0, 6.523350715637207)]"
