SMILES,pKa,Dissociable_Atoms,Functional_Group,Name,Equilibrium,Ionic,Temperature,Dissociable_Atoms_Ordered,Functional_Group_Ordered,Dissociation_Order,Dissociating_Group,Functional_Group_pKa_Ranges
NCC(O)=O,9.57,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),[HL]/[L][H],0.1,25.0,2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
NCC(O)=O,2.63,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),[H₂L]/[HL][H],3.0,25.0,2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
NCC(O)=O,2.69,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),[H₂L]/[HL][H],3.0,25.0,2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
NCC(O)=O,2.71,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),[H₂L]/[HL][H],3.0,25.0,2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
NCC(O)=O,2.79,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),[H₂L]/[HL][H],3.0,25.0,2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
NCC(O)=O,2.401,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),[H₂L]/[HL][H],0.0,10.0,2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
NCC(O)=O,2.35,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),[H₂L]/[HL][H],0.0,25.0,2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
NCC(O)=O,2.323,0:2,amine_primary:carboxylic_acid,Aminoacetic acid (Glycine),[H₂L]/[HL][H],0.0,40.0,2:0,carboxylic_acid:amine_primary,2(carboxylic_acid) > 0(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
C[C@H](N)C(O)=O,9.71,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),[HL]/[L][H],0.1,25.0,3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
C[C@H](N)C(O)=O,9.4,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),[HL]/[L][H],0.15,37.0,3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
C[C@H](N)C(O)=O,9.67,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),[HL]/[L][H],0.5,25.0,3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
C[C@H](N)C(O)=O,9.71,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),[HL]/[L][H],1.0,25.0,3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
C[C@H](N)C(O)=O,9.87,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),[HL]/[L][H],2.0,25.0,3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
C[C@H](N)C(O)=O,10.2,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),[HL]/[L][H],3.0,25.0,3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
C[C@H](N)C(O)=O,10.3,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),[HL]/[L][H],3.0,25.0,3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
C[C@H](N)C(O)=O,10.71,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),[HL]/[L][H],5.0,25.0,3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
C[C@H](N)C(O)=O,10.295,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),[HL]/[L][H],0.0,10.0,3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
C[C@H](N)C(O)=O,9.868,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),[HL]/[L][H],0.0,25.0,3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
C[C@H](N)C(O)=O,9.491,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),[HL]/[L][H],0.0,40.0,3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
C[C@H](N)C(O)=O,2.33,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),[H₂L]/[HL][H],0.1,25.0,3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
C[C@H](N)C(O)=O,2.31,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),[H₂L]/[HL][H],0.15,37.0,3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
C[C@H](N)C(O)=O,2.35,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),[H₂L]/[HL][H],0.5,25.0,3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
C[C@H](N)C(O)=O,2.4,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),[H₂L]/[HL][H],1.0,25.0,3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
C[C@H](N)C(O)=O,2.62,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),[H₂L]/[HL][H],2.0,25.0,3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
C[C@H](N)C(O)=O,2.72,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),[H₂L]/[HL][H],3.0,25.0,3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
C[C@H](N)C(O)=O,2.77,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),[H₂L]/[HL][H],3.0,25.0,3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
C[C@H](N)C(O)=O,3.01,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),[H₂L]/[HL][H],5.0,25.0,3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
C[C@H](N)C(O)=O,2.39,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),[H₂L]/[HL][H],0.0,10.0,3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
C[C@H](N)C(O)=O,2.344,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),[H₂L]/[HL][H],0.0,25.0,3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
C[C@H](N)C(O)=O,2.326,2:3,amine_primary:carboxylic_acid,L-2-Aminopropanoic acid (Alanine),[H₂L]/[HL][H],0.0,40.0,3:2,carboxylic_acid:amine_primary,3(carboxylic_acid) > 2(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCC(N)C(O)=O,9.63,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid,[HL]/[L][H],0.1,25.0,5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCC(N)C(O)=O,9.63,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid,[HL]/[L][H],1.0,25.0,5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCC(N)C(O)=O,10.24,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid,[HL]/[L][H],3.0,25.0,5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCC(N)C(O)=O,10.61,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid,[HL]/[L][H],5.0,25.0,5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCC(N)C(O)=O,10.25,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid,[HL]/[L][H],0.0,10.0,5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCC(N)C(O)=O,9.83,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid,[HL]/[L][H],0.0,25.0,5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCC(N)C(O)=O,9.46,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid,[HL]/[L][H],0.0,40.0,5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCC(N)C(O)=O,2.3,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid,[H₂L]/[HL][H],0.1,25.0,5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCC(N)C(O)=O,2.32,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid,[H₂L]/[HL][H],1.0,25.0,5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCC(N)C(O)=O,2.79,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid,[H₂L]/[HL][H],3.0,25.0,5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCC(N)C(O)=O,2.97,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid,[H₂L]/[HL][H],5.0,25.0,5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCC(N)C(O)=O,2.31,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid,[H₂L]/[HL][H],0.0,10.0,5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCC(N)C(O)=O,2.286,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid,[H₂L]/[HL][H],0.0,25.0,5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCC(N)C(O)=O,2.29,3:5,amine_primary:carboxylic_acid,DL-2-Aminobutanoic acid,[H₂L]/[HL][H],0.0,40.0,5:3,carboxylic_acid:amine_primary,5(carboxylic_acid) > 3(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCC[C@H](N)C(O)=O,9.65,4:6,amine_primary:carboxylic_acid,DL-2-Aminopentanoic acid (Norvaline),[HL]/[L][H],0.1,25.0,6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCC[C@H](N)C(O)=O,10.23,4:6,amine_primary:carboxylic_acid,DL-2-Aminopentanoic acid (Norvaline),[HL]/[L][H],0.0,10.0,6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCC[C@H](N)C(O)=O,9.808,4:6,amine_primary:carboxylic_acid,DL-2-Aminopentanoic acid (Norvaline),[HL]/[L][H],0.0,25.0,6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCC[C@H](N)C(O)=O,9.43,4:6,amine_primary:carboxylic_acid,DL-2-Aminopentanoic acid (Norvaline),[HL]/[L][H],0.0,40.0,6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCC[C@H](N)C(O)=O,2.31,4:6,amine_primary:carboxylic_acid,DL-2-Aminopentanoic acid (Norvaline),[H₂L]/[HL][H],0.1,25.0,6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCC[C@H](N)C(O)=O,2.346,4:6,amine_primary:carboxylic_acid,DL-2-Aminopentanoic acid (Norvaline),[H₂L]/[HL][H],0.0,10.0,6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCC[C@H](N)C(O)=O,2.318,4:6,amine_primary:carboxylic_acid,DL-2-Aminopentanoic acid (Norvaline),[H₂L]/[HL][H],0.0,25.0,6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCC[C@H](N)C(O)=O,2.308,4:6,amine_primary:carboxylic_acid,DL-2-Aminopentanoic acid (Norvaline),[H₂L]/[HL][H],0.0,40.0,6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCCC[C@H](N)C(O)=O,9.68,5:7,amine_primary:carboxylic_acid,DL-2-Aminohexanoic acid (Norleucine),[HL]/[L][H],0.1,25.0,7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCCC[C@H](N)C(O)=O,10.261,5:7,amine_primary:carboxylic_acid,DL-2-Aminohexanoic acid (Norleucine),[HL]/[L][H],0.0,10.0,7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCCC[C@H](N)C(O)=O,9.834,5:7,amine_primary:carboxylic_acid,DL-2-Aminohexanoic acid (Norleucine),[HL]/[L][H],0.0,25.0,7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCCC[C@H](N)C(O)=O,9.452,5:7,amine_primary:carboxylic_acid,DL-2-Aminohexanoic acid (Norleucine),[HL]/[L][H],0.0,40.0,7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCCC[C@H](N)C(O)=O,2.31,5:7,amine_primary:carboxylic_acid,DL-2-Aminohexanoic acid (Norleucine),[H₂L]/[HL][H],0.1,25.0,7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCCC[C@H](N)C(O)=O,2.362,5:7,amine_primary:carboxylic_acid,DL-2-Aminohexanoic acid (Norleucine),[H₂L]/[HL][H],0.0,10.0,7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCCC[C@H](N)C(O)=O,2.335,5:7,amine_primary:carboxylic_acid,DL-2-Aminohexanoic acid (Norleucine),[H₂L]/[HL][H],0.0,25.0,7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CCCC[C@H](N)C(O)=O,2.323,5:7,amine_primary:carboxylic_acid,DL-2-Aminohexanoic acid (Norleucine),[H₂L]/[HL][H],0.0,40.0,7:5,carboxylic_acid:amine_primary,7(carboxylic_acid) > 5(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CC(C)[C@H](N)C(O)=O,9.52,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine),[HL]/[L][H],0.1,25.0,6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CC(C)[C@H](N)C(O)=O,9.17,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine),[HL]/[L][H],0.15,37.0,6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CC(C)[C@H](N)C(O)=O,9.45,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine),[HL]/[L][H],0.5,25.0,6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CC(C)[C@H](N)C(O)=O,9.5,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine),[HL]/[L][H],1.0,25.0,6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CC(C)[C@H](N)C(O)=O,10.133,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine),[HL]/[L][H],0.0,10.0,6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CC(C)[C@H](N)C(O)=O,9.719,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine),[HL]/[L][H],0.0,25.0,6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CC(C)[C@H](N)C(O)=O,9.345,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine),[HL]/[L][H],0.0,40.0,6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary),amine_primary,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
CC(C)[C@H](N)C(O)=O,2.27,4:6,amine_primary:carboxylic_acid,L-2-Amino-3-methylbutanoic acid (Valine),[H₂L]/[HL][H],0.1,25.0,6:4,carboxylic_acid:amine_primary,6(carboxylic_acid) > 4(amine_primary),carboxylic_acid,amine_primary(9.0~11.0); carboxylic_acid(1.5~5.0)
