SMILES,pKa,Dissociable_Atoms,Functional_Group,Name,Dissociable_Atoms_Ordered,Functional_Group_Ordered,Dissociation_Order
N[C@@H](CO[P](O)(O)=O)C(O)=O,6.19,9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,L-2-Amino-3-phosphopropanoic acid (Phosphoserine),9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,9(carboxylic_acid) > 0(amine_primary) > 4(phosphate) > 5(phosphate)
N[C@@H](CO[P](O)(O)=O)C(O)=O,2.14,9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,L-2-Amino-3-phosphopropanoic acid (Phosphoserine),9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,9(carboxylic_acid) > 0(amine_primary) > 4(phosphate) > 5(phosphate)
N[C@@H](CO[P](O)(O)=O)C(O)=O,2.0,9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,L-2-Amino-3-phosphopropanoic acid (Phosphoserine),9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,9(carboxylic_acid) > 0(amine_primary) > 4(phosphate) > 5(phosphate)
N[C@@H](CO[P](O)(O)=O)C(O)=O,2.13,9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,L-2-Amino-3-phosphopropanoic acid (Phosphoserine),9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,9(carboxylic_acid) > 0(amine_primary) > 4(phosphate) > 5(phosphate)
N[C@@H](CO[P](O)(O)=O)C(O)=O,0.7,9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,L-2-Amino-3-phosphopropanoic acid (Phosphoserine),9:0:4:5,carboxylic_acid:amine_primary:phosphate:phosphate,9(carboxylic_acid) > 0(amine_primary) > 4(phosphate) > 5(phosphate)
N[C@@H](Cc1ccc(O)c(N)c1)C(O)=O,10.19,0:7:9:12,amine_primary:phenol:amine_primary:carboxylic_acid,L-2-Amino-3-(3-amino-4-hydroxyphenyl)propanoic acid (m-Aminotyrosine),12:7:0:9,carboxylic_acid:phenol:amine_primary:amine_primary,12(carboxylic_acid) > 7(phenol) > 0(amine_primary) > 9(amine_primary)
N[C@@H](Cc1ccc(O)c(N)c1)C(O)=O,9.09,0:7:9:12,amine_primary:phenol:amine_primary:carboxylic_acid,L-2-Amino-3-(3-amino-4-hydroxyphenyl)propanoic acid (m-Aminotyrosine),12:7:0:9,carboxylic_acid:phenol:amine_primary:amine_primary,12(carboxylic_acid) > 7(phenol) > 0(amine_primary) > 9(amine_primary)
N[C@@H](Cc1ccc(O)c(N)c1)C(O)=O,4.48,0:7:9:12,amine_primary:phenol:amine_primary:carboxylic_acid,L-2-Amino-3-(3-amino-4-hydroxyphenyl)propanoic acid (m-Aminotyrosine),12:7:0:9,carboxylic_acid:phenol:amine_primary:amine_primary,12(carboxylic_acid) > 7(phenol) > 0(amine_primary) > 9(amine_primary)
N[C@@H](Cc1ccc(O)c(N)c1)C(O)=O,2.0,0:7:9:12,amine_primary:phenol:amine_primary:carboxylic_acid,L-2-Amino-3-(3-amino-4-hydroxyphenyl)propanoic acid (m-Aminotyrosine),12:7:0:9,carboxylic_acid:phenol:amine_primary:amine_primary,12(carboxylic_acid) > 7(phenol) > 0(amine_primary) > 9(amine_primary)
N[C@@H](Cc1ccc(O)c(O)c1)C(O)=O,13.4,0:7:9:12,amine_primary:phenol:phenol:carboxylic_acid,"L-2-Amino-3-(3,4-dihydroxyphenyl)propanoic acid (DOPA)",12:7:9:0,carboxylic_acid:phenol:phenol:amine_primary,12(carboxylic_acid) > 7(phenol) > 9(phenol) > 0(amine_primary)
N[C@@H](Cc1ccc(O)c(O)c1)C(O)=O,13.4,0:7:9:12,amine_primary:phenol:phenol:carboxylic_acid,"L-2-Amino-3-(3,4-dihydroxyphenyl)propanoic acid (DOPA)",12:7:9:0,carboxylic_acid:phenol:phenol:amine_primary,12(carboxylic_acid) > 7(phenol) > 9(phenol) > 0(amine_primary)
N[C@@H](Cc1ccc(O)c(O)c1)C(O)=O,9.81,0:7:9:12,amine_primary:phenol:phenol:carboxylic_acid,"L-2-Amino-3-(3,4-dihydroxyphenyl)propanoic acid (DOPA)",12:7:9:0,carboxylic_acid:phenol:phenol:amine_primary,12(carboxylic_acid) > 7(phenol) > 9(phenol) > 0(amine_primary)
N[C@@H](Cc1ccc(O)c(O)c1)C(O)=O,9.7,0:7:9:12,amine_primary:phenol:phenol:carboxylic_acid,"L-2-Amino-3-(3,4-dihydroxyphenyl)propanoic acid (DOPA)",12:7:9:0,carboxylic_acid:phenol:phenol:amine_primary,12(carboxylic_acid) > 7(phenol) > 9(phenol) > 0(amine_primary)
N[C@@H](Cc1ccc(O)c(O)c1)C(O)=O,9.87,0:7:9:12,amine_primary:phenol:phenol:carboxylic_acid,"L-2-Amino-3-(3,4-dihydroxyphenyl)propanoic acid (DOPA)",12:7:9:0,carboxylic_acid:phenol:phenol:amine_primary,12(carboxylic_acid) > 7(phenol) > 9(phenol) > 0(amine_primary)
N[C@@H](Cc1ccc(O)c(O)c1)C(O)=O,9.76,0:7:9:12,amine_primary:phenol:phenol:carboxylic_acid,"L-2-Amino-3-(3,4-dihydroxyphenyl)propanoic acid (DOPA)",12:7:9:0,carboxylic_acid:phenol:phenol:amine_primary,12(carboxylic_acid) > 7(phenol) > 9(phenol) > 0(amine_primary)
N[C@@H](Cc1ccc(O)c(O)c1)C(O)=O,8.75,0:7:9:12,amine_primary:phenol:phenol:carboxylic_acid,"L-2-Amino-3-(3,4-dihydroxyphenyl)propanoic acid (DOPA)",12:7:9:0,carboxylic_acid:phenol:phenol:amine_primary,12(carboxylic_acid) > 7(phenol) > 9(phenol) > 0(amine_primary)
N[C@@H](Cc1ccc(O)c(O)c1)C(O)=O,8.7,0:7:9:12,amine_primary:phenol:phenol:carboxylic_acid,"L-2-Amino-3-(3,4-dihydroxyphenyl)propanoic acid (DOPA)",12:7:9:0,carboxylic_acid:phenol:phenol:amine_primary,12(carboxylic_acid) > 7(phenol) > 9(phenol) > 0(amine_primary)
N[C@@H](Cc1ccc(O)c(O)c1)C(O)=O,8.81,0:7:9:12,amine_primary:phenol:phenol:carboxylic_acid,"L-2-Amino-3-(3,4-dihydroxyphenyl)propanoic acid (DOPA)",12:7:9:0,carboxylic_acid:phenol:phenol:amine_primary,12(carboxylic_acid) > 7(phenol) > 9(phenol) > 0(amine_primary)
N[C@@H](Cc1ccc(O)c(O)c1)C(O)=O,8.75,0:7:9:12,amine_primary:phenol:phenol:carboxylic_acid,"L-2-Amino-3-(3,4-dihydroxyphenyl)propanoic acid (DOPA)",12:7:9:0,carboxylic_acid:phenol:phenol:amine_primary,12(carboxylic_acid) > 7(phenol) > 9(phenol) > 0(amine_primary)
N[C@@H](Cc1ccc(O)c(O)c1)C(O)=O,2.2,0:7:9:12,amine_primary:phenol:phenol:carboxylic_acid,"L-2-Amino-3-(3,4-dihydroxyphenyl)propanoic acid (DOPA)",12:7:9:0,carboxylic_acid:phenol:phenol:amine_primary,12(carboxylic_acid) > 7(phenol) > 9(phenol) > 0(amine_primary)
N[C@@H](Cc1ccc(O)c(O)c1)C(O)=O,2.15,0:7:9:12,amine_primary:phenol:phenol:carboxylic_acid,"L-2-Amino-3-(3,4-dihydroxyphenyl)propanoic acid (DOPA)",12:7:9:0,carboxylic_acid:phenol:phenol:amine_primary,12(carboxylic_acid) > 7(phenol) > 9(phenol) > 0(amine_primary)
N[C@@H](Cc1ccc(O)c(O)c1)C(O)=O,2.04,0:7:9:12,amine_primary:phenol:phenol:carboxylic_acid,"L-2-Amino-3-(3,4-dihydroxyphenyl)propanoic acid (DOPA)",12:7:9:0,carboxylic_acid:phenol:phenol:amine_primary,12(carboxylic_acid) > 7(phenol) > 9(phenol) > 0(amine_primary)
N[C@@H](Cc1ccc(O)c(O)c1)C(O)=O,2.35,0:7:9:12,amine_primary:phenol:phenol:carboxylic_acid,"L-2-Amino-3-(3,4-dihydroxyphenyl)propanoic acid (DOPA)",12:7:9:0,carboxylic_acid:phenol:phenol:amine_primary,12(carboxylic_acid) > 7(phenol) > 9(phenol) > 0(amine_primary)
OC(=O)CNCCNCC(O)=O,9.61,0:4:7:10,carboxylic_acid:amine_secondary:amine_secondary:carboxylic_acid,Ethylenediiminodiacetic acid (EDDA),0:10:4:7,carboxylic_acid:carboxylic_acid:amine_secondary:amine_secondary,0(carboxylic_acid) > 10(carboxylic_acid) > 4(amine_secondary) > 7(amine_secondary)
OC(=O)CNCCNCC(O)=O,9.36,0:4:7:10,carboxylic_acid:amine_secondary:amine_secondary:carboxylic_acid,Ethylenediiminodiacetic acid (EDDA),0:10:4:7,carboxylic_acid:carboxylic_acid:amine_secondary:amine_secondary,0(carboxylic_acid) > 10(carboxylic_acid) > 4(amine_secondary) > 7(amine_secondary)
OC(=O)CNCCNCC(O)=O,9.64,0:4:7:10,carboxylic_acid:amine_secondary:amine_secondary:carboxylic_acid,Ethylenediiminodiacetic acid (EDDA),0:10:4:7,carboxylic_acid:carboxylic_acid:amine_secondary:amine_secondary,0(carboxylic_acid) > 10(carboxylic_acid) > 4(amine_secondary) > 7(amine_secondary)
OC(=O)CNCCNCC(O)=O,10.06,0:4:7:10,carboxylic_acid:amine_secondary:amine_secondary:carboxylic_acid,Ethylenediiminodiacetic acid (EDDA),0:10:4:7,carboxylic_acid:carboxylic_acid:amine_secondary:amine_secondary,0(carboxylic_acid) > 10(carboxylic_acid) > 4(amine_secondary) > 7(amine_secondary)
OC(=O)CNCCNCC(O)=O,6.55,0:4:7:10,carboxylic_acid:amine_secondary:amine_secondary:carboxylic_acid,Ethylenediiminodiacetic acid (EDDA),0:10:4:7,carboxylic_acid:carboxylic_acid:amine_secondary:amine_secondary,0(carboxylic_acid) > 10(carboxylic_acid) > 4(amine_secondary) > 7(amine_secondary)
OC(=O)CNCCNCC(O)=O,6.36,0:4:7:10,carboxylic_acid:amine_secondary:amine_secondary:carboxylic_acid,Ethylenediiminodiacetic acid (EDDA),0:10:4:7,carboxylic_acid:carboxylic_acid:amine_secondary:amine_secondary,0(carboxylic_acid) > 10(carboxylic_acid) > 4(amine_secondary) > 7(amine_secondary)
OC(=O)CNCCNCC(O)=O,6.7,0:4:7:10,carboxylic_acid:amine_secondary:amine_secondary:carboxylic_acid,Ethylenediiminodiacetic acid (EDDA),0:10:4:7,carboxylic_acid:carboxylic_acid:amine_secondary:amine_secondary,0(carboxylic_acid) > 10(carboxylic_acid) > 4(amine_secondary) > 7(amine_secondary)
OC(=O)CNCCNCC(O)=O,7.18,0:4:7:10,carboxylic_acid:amine_secondary:amine_secondary:carboxylic_acid,Ethylenediiminodiacetic acid (EDDA),0:10:4:7,carboxylic_acid:carboxylic_acid:amine_secondary:amine_secondary,0(carboxylic_acid) > 10(carboxylic_acid) > 4(amine_secondary) > 7(amine_secondary)
OC(=O)CNCCNCC(O)=O,2.12,0:4:7:10,carboxylic_acid:amine_secondary:amine_secondary:carboxylic_acid,Ethylenediiminodiacetic acid (EDDA),0:10:4:7,carboxylic_acid:carboxylic_acid:amine_secondary:amine_secondary,0(carboxylic_acid) > 10(carboxylic_acid) > 4(amine_secondary) > 7(amine_secondary)
OC(=O)CNCCNCC(O)=O,2.18,0:4:7:10,carboxylic_acid:amine_secondary:amine_secondary:carboxylic_acid,Ethylenediiminodiacetic acid (EDDA),0:10:4:7,carboxylic_acid:carboxylic_acid:amine_secondary:amine_secondary,0(carboxylic_acid) > 10(carboxylic_acid) > 4(amine_secondary) > 7(amine_secondary)
OC(=O)CNCCNCC(O)=O,2.35,0:4:7:10,carboxylic_acid:amine_secondary:amine_secondary:carboxylic_acid,Ethylenediiminodiacetic acid (EDDA),0:10:4:7,carboxylic_acid:carboxylic_acid:amine_secondary:amine_secondary,0(carboxylic_acid) > 10(carboxylic_acid) > 4(amine_secondary) > 7(amine_secondary)
OC(=O)CNCCNCC(O)=O,2.98,0:4:7:10,carboxylic_acid:amine_secondary:amine_secondary:carboxylic_acid,Ethylenediiminodiacetic acid (EDDA),0:10:4:7,carboxylic_acid:carboxylic_acid:amine_secondary:amine_secondary,0(carboxylic_acid) > 10(carboxylic_acid) > 4(amine_secondary) > 7(amine_secondary)
OC(=O)CNCCNCC(O)=O,1.3,0:4:7:10,carboxylic_acid:amine_secondary:amine_secondary:carboxylic_acid,Ethylenediiminodiacetic acid (EDDA),0:10:4:7,carboxylic_acid:carboxylic_acid:amine_secondary:amine_secondary,0(carboxylic_acid) > 10(carboxylic_acid) > 4(amine_secondary) > 7(amine_secondary)
OC(=O)CNCCNCC(O)=O,1.2,0:4:7:10,carboxylic_acid:amine_secondary:amine_secondary:carboxylic_acid,Ethylenediiminodiacetic acid (EDDA),0:10:4:7,carboxylic_acid:carboxylic_acid:amine_secondary:amine_secondary,0(carboxylic_acid) > 10(carboxylic_acid) > 4(amine_secondary) > 7(amine_secondary)
OC(=O)CNCCNCC(O)=O,1.75,0:4:7:10,carboxylic_acid:amine_secondary:amine_secondary:carboxylic_acid,Ethylenediiminodiacetic acid (EDDA),0:10:4:7,carboxylic_acid:carboxylic_acid:amine_secondary:amine_secondary,0(carboxylic_acid) > 10(carboxylic_acid) > 4(amine_secondary) > 7(amine_secondary)
OC(=O)CNCCNCC(O)=O,1.5,0:4:7:10,carboxylic_acid:amine_secondary:amine_secondary:carboxylic_acid,Ethylenediiminodiacetic acid (EDDA),0:10:4:7,carboxylic_acid:carboxylic_acid:amine_secondary:amine_secondary,0(carboxylic_acid) > 10(carboxylic_acid) > 4(amine_secondary) > 7(amine_secondary)
OC(=O)CC(NCCNC(CC(O)=O)C(O)=O)C(O)=O,10.01,0:12:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,Ethylenediiminodibutanedioic acid (EDDS),0:12:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,0(carboxylic_acid) > 12(carboxylic_acid) > 15(carboxylic_acid) > 18(carboxylic_acid)
OC(=O)CC(NCCNC(CC(O)=O)C(O)=O)C(O)=O,10.13,0:12:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,Ethylenediiminodibutanedioic acid (EDDS),0:12:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,0(carboxylic_acid) > 12(carboxylic_acid) > 15(carboxylic_acid) > 18(carboxylic_acid)
OC(=O)CC(NCCNC(CC(O)=O)C(O)=O)C(O)=O,6.84,0:12:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,Ethylenediiminodibutanedioic acid (EDDS),0:12:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,0(carboxylic_acid) > 12(carboxylic_acid) > 15(carboxylic_acid) > 18(carboxylic_acid)
OC(=O)CC(NCCNC(CC(O)=O)C(O)=O)C(O)=O,6.93,0:12:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,Ethylenediiminodibutanedioic acid (EDDS),0:12:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,0(carboxylic_acid) > 12(carboxylic_acid) > 15(carboxylic_acid) > 18(carboxylic_acid)
OC(=O)CC(NCCNC(CC(O)=O)C(O)=O)C(O)=O,6.72,0:12:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,Ethylenediiminodibutanedioic acid (EDDS),0:12:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,0(carboxylic_acid) > 12(carboxylic_acid) > 15(carboxylic_acid) > 18(carboxylic_acid)
OC(=O)CC(NCCNC(CC(O)=O)C(O)=O)C(O)=O,6.65,0:12:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,Ethylenediiminodibutanedioic acid (EDDS),0:12:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,0(carboxylic_acid) > 12(carboxylic_acid) > 15(carboxylic_acid) > 18(carboxylic_acid)
OC(=O)CC(NCCNC(CC(O)=O)C(O)=O)C(O)=O,7.52,0:12:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,Ethylenediiminodibutanedioic acid (EDDS),0:12:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,0(carboxylic_acid) > 12(carboxylic_acid) > 15(carboxylic_acid) > 18(carboxylic_acid)
OC(=O)CC(NCCNC(CC(O)=O)C(O)=O)C(O)=O,3.86,0:12:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,Ethylenediiminodibutanedioic acid (EDDS),0:12:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,0(carboxylic_acid) > 12(carboxylic_acid) > 15(carboxylic_acid) > 18(carboxylic_acid)
OC(=O)CC(NCCNC(CC(O)=O)C(O)=O)C(O)=O,3.85,0:12:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,Ethylenediiminodibutanedioic acid (EDDS),0:12:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,0(carboxylic_acid) > 12(carboxylic_acid) > 15(carboxylic_acid) > 18(carboxylic_acid)
OC(=O)CC(NCCNC(CC(O)=O)C(O)=O)C(O)=O,3.76,0:12:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,Ethylenediiminodibutanedioic acid (EDDS),0:12:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,0(carboxylic_acid) > 12(carboxylic_acid) > 15(carboxylic_acid) > 18(carboxylic_acid)
OC(=O)CC(NCCNC(CC(O)=O)C(O)=O)C(O)=O,3.81,0:12:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,Ethylenediiminodibutanedioic acid (EDDS),0:12:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,0(carboxylic_acid) > 12(carboxylic_acid) > 15(carboxylic_acid) > 18(carboxylic_acid)
OC(=O)CC(NCCNC(CC(O)=O)C(O)=O)C(O)=O,4.28,0:12:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,Ethylenediiminodibutanedioic acid (EDDS),0:12:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,0(carboxylic_acid) > 12(carboxylic_acid) > 15(carboxylic_acid) > 18(carboxylic_acid)
OC(=O)CC(NCCNC(CC(O)=O)C(O)=O)C(O)=O,2.95,0:12:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,Ethylenediiminodibutanedioic acid (EDDS),0:12:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,0(carboxylic_acid) > 12(carboxylic_acid) > 15(carboxylic_acid) > 18(carboxylic_acid)
OC(=O)CC(NCCNC(CC(O)=O)C(O)=O)C(O)=O,3.0,0:12:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,Ethylenediiminodibutanedioic acid (EDDS),0:12:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,0(carboxylic_acid) > 12(carboxylic_acid) > 15(carboxylic_acid) > 18(carboxylic_acid)
OC(CNC(C(O)=O)C(O)=O)CNC(C(O)=O)C(O)=O,10.4,6:9:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,"2-Hydroxy-1,3-propylenediiminodipropanedioic acid",6:9:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,6(carboxylic_acid) > 9(carboxylic_acid) > 15(carboxylic_acid) > 18(carboxylic_acid)
OC(CNC(C(O)=O)C(O)=O)CNC(C(O)=O)C(O)=O,8.9,6:9:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,"2-Hydroxy-1,3-propylenediiminodipropanedioic acid",6:9:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,6(carboxylic_acid) > 9(carboxylic_acid) > 15(carboxylic_acid) > 18(carboxylic_acid)
OC(CNC(C(O)=O)C(O)=O)CNC(C(O)=O)C(O)=O,3.4,6:9:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,"2-Hydroxy-1,3-propylenediiminodipropanedioic acid",6:9:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,6(carboxylic_acid) > 9(carboxylic_acid) > 15(carboxylic_acid) > 18(carboxylic_acid)
OC(CNC(C(O)=O)C(O)=O)CNC(C(O)=O)C(O)=O,2.41,6:9:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,"2-Hydroxy-1,3-propylenediiminodipropanedioic acid",6:9:15:18,carboxylic_acid:carboxylic_acid:carboxylic_acid:carboxylic_acid,6(carboxylic_acid) > 9(carboxylic_acid) > 15(carboxylic_acid) > 18(carboxylic_acid)
CC(=NO)C(CN(CC(O)=O)CC(O)=O)=NO,12.2,3:9:13:16,alcohol:carboxylic_acid:carboxylic_acid:alcohol,"1-[Bis(carboxymethyl)amino]butan-2,3-dione dioxime",9:13:3:16,carboxylic_acid:carboxylic_acid:alcohol:alcohol,9(carboxylic_acid) > 13(carboxylic_acid) > 3(alcohol) > 16(alcohol)
CC(=NO)C(CN(CC(O)=O)CC(O)=O)=NO,10.47,3:9:13:16,alcohol:carboxylic_acid:carboxylic_acid:alcohol,"1-[Bis(carboxymethyl)amino]butan-2,3-dione dioxime",9:13:3:16,carboxylic_acid:carboxylic_acid:alcohol:alcohol,9(carboxylic_acid) > 13(carboxylic_acid) > 3(alcohol) > 16(alcohol)
CC(=NO)C(CN(CC(O)=O)CC(O)=O)=NO,8.23,3:9:13:16,alcohol:carboxylic_acid:carboxylic_acid:alcohol,"1-[Bis(carboxymethyl)amino]butan-2,3-dione dioxime",9:13:3:16,carboxylic_acid:carboxylic_acid:alcohol:alcohol,9(carboxylic_acid) > 13(carboxylic_acid) > 3(alcohol) > 16(alcohol)
CC(=NO)C(CN(CC(O)=O)CC(O)=O)=NO,2.03,3:9:13:16,alcohol:carboxylic_acid:carboxylic_acid:alcohol,"1-[Bis(carboxymethyl)amino]butan-2,3-dione dioxime",9:13:3:16,carboxylic_acid:carboxylic_acid:alcohol:alcohol,9(carboxylic_acid) > 13(carboxylic_acid) > 3(alcohol) > 16(alcohol)
OCCN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,9.7,0:9:13:17,alcohol:carboxylic_acid:carboxylic_acid:carboxylic_acid,N-(2-Hydroxyethyl)ethylenedinitrilotriacetic acid (HEDTA),9:13:17:0,carboxylic_acid:carboxylic_acid:carboxylic_acid:alcohol,9(carboxylic_acid) > 13(carboxylic_acid) > 17(carboxylic_acid) > 0(alcohol)
OCCN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,9.87,0:9:13:17,alcohol:carboxylic_acid:carboxylic_acid:carboxylic_acid,N-(2-Hydroxyethyl)ethylenedinitrilotriacetic acid (HEDTA),9:13:17:0,carboxylic_acid:carboxylic_acid:carboxylic_acid:alcohol,9(carboxylic_acid) > 13(carboxylic_acid) > 17(carboxylic_acid) > 0(alcohol)
OCCN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,9.79,0:9:13:17,alcohol:carboxylic_acid:carboxylic_acid:carboxylic_acid,N-(2-Hydroxyethyl)ethylenedinitrilotriacetic acid (HEDTA),9:13:17:0,carboxylic_acid:carboxylic_acid:carboxylic_acid:alcohol,9(carboxylic_acid) > 13(carboxylic_acid) > 17(carboxylic_acid) > 0(alcohol)
OCCN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,9.2,0:9:13:17,alcohol:carboxylic_acid:carboxylic_acid:carboxylic_acid,N-(2-Hydroxyethyl)ethylenedinitrilotriacetic acid (HEDTA),9:13:17:0,carboxylic_acid:carboxylic_acid:carboxylic_acid:alcohol,9(carboxylic_acid) > 13(carboxylic_acid) > 17(carboxylic_acid) > 0(alcohol)
OCCN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,9.73,0:9:13:17,alcohol:carboxylic_acid:carboxylic_acid:carboxylic_acid,N-(2-Hydroxyethyl)ethylenedinitrilotriacetic acid (HEDTA),9:13:17:0,carboxylic_acid:carboxylic_acid:carboxylic_acid:alcohol,9(carboxylic_acid) > 13(carboxylic_acid) > 17(carboxylic_acid) > 0(alcohol)
